AIE NDVI NDRE GNDVI SAVI
1.01 0.838 0.331 0.786 0.702
1.01 0.838 0.306 0.786 0.641
0.97 0.838 0.323 0.786 0.666
0.92 0.839 0.323 0.787 0.697
1.05 0.881 0.516 0.789 0.775
1 0.878 0.516 0.788 0.758
1.03 0.886 0.517 0.794 0.804
0.88 0.794 0.302 0.769 0.705
0.88 0.794 0.302 0.769 0.627
0.63 0.795 0.299 0.758 0.624
0.68 0.878 0.507 0.784 0.774
0.65 0.878 0.507 0.784 0.757
0.65 0.879 0.504 0.784 0.784
0.65 0.879 0.504 0.784 0.813
1.18 0.828 0.322 0.79 0.687
1.17 0.828 0.338 0.79 0.682
0.98 0.828 0.337 0.79 0.682
0.96 0.84 0.322 0.796 0.673
0.8 0.894 0.539 0.807 0.809
0.85 0.89 0.539 0.807 0.778
0.83 0.885 0.539 0.807 0.803
0.8 0.892 0.529 0.803 0.823
0.89 0.809 0.316 0.779 0.679
0.89 0.809 0.316 0.782 0.669
0.98 0.809 0.32 0.784 0.665
0.98 0.809 0.312 0.784 0.666
1 0.888 0.526 0.784 0.796
1.05 0.888 0.526 0.784 0.78
1 0.89 0.53 0.784 0.81
1.02 0.89 0.535 0.784 0.803
0.96 0.838 0.333 0.786 0.647
0.99 0.838 0.333 0.771 0.641
1.09 0.834 0.333 0.784 0.684
1.06 0.879 0.532 0.791 0.757
1.05 0.877 0.524 0.797 0.784
1.05 0.875 0.524 0.789 0.769
1.05 0.873 0.524 0.786 0.796
0.95 0.826 0.312 0.777 0.672
0.95 0.814 0.312 0.764 0.652
0.95 0.809 0.303 0.764 0.637
0.95 0.809 0.314 0.764 0.671
0.95 0.873 0.511 0.791 0.764
0.95 0.873 0.511 0.791 0.768
0.95 0.873 0.503 0.786 0.801
0.84 0.81 0.332 0.785 0.635
0.98 0.809 0.332 0.78 0.618
0.98 0.818 0.321 0.78 0.634
0.98 0.818 0.321 0.78 0.618
1.1 0.878 0.526 0.793 0.757
1 0.883 0.526 0.797 0.783
1.23 0.88 0.526 0.782 0.793
0.72 0.809 0.3 0.736 0.643
0.72 0.809 0.3 0.736 0.614
0.75 0.796 0.299 0.736 0.611
0.68 0.813 0.299 0.736 0.643
1 0.867 0.503 0.794 0.771
1 0.867 0.503 0.795 0.777
0.92 0.822 0.338 0.786 0.66
0.86 0.822 0.338 0.786 0.557
0.9 0.831 0.331 0.782 0.636
1.01 0.831 0.331 0.771 0.721
0.97 0.879 0.519 0.794 0.75
0.82 0.877 0.519 0.795 0.791
0.95 0.877 0.519 0.795 0.751
0.95 0.877 0.519 0.795 0.759
0.99 0.821 0.281 0.744 0.657
0.91 0.773 0.281 0.744 0.606
0.9 0.86 0.504 0.786 0.747
0.9 0.86 0.504 0.786 0.788
0.9 0.86 0.504 0.786 0.762
1.06 0.831 0.346 0.777 0.649
1.06 0.831 0.346 0.792 0.67
1.17 0.834 0.346 0.792 0.682
