AIE NDVI NDRE GNDVI SAVI
1 0.88 0.517 0.794 0.791
0.79 0.795 0.299 0.758 0.697
1.2 0.838 0.333 0.786 0.692
0.95 0.873 0.511 0.791 0.776
1.05 0.88 0.526 0.785 0.787
1 0.867 0.503 0.793 0.781
1 0.867 0.503 0.785 0.782
0.88 0.785 0.303 0.768 0.615
0.88 0.823 0.303 0.768 0.676
0.9 0.86 0.488 0.778 0.762
0.79 0.882 0.517 0.788 0.739
0.73 0.881 0.517 0.795 0.795
0.9 0.792 0.294 0.798 0.623
0.86 0.792 0.305 0.781 0.67
1.46 0.844 0.326 0.77 0.625
0.97 0.882 0.512 0.793 0.806
0.67 0.802 0.309 0.762 0.61
0.9 0.871 0.513 0.791 0.798
0.73 0.89 0.514 0.791 0.771
0.73 0.888 0.517 0.798 0.801
0.73 0.892 0.513 0.796 0.805
1.26 0.821 0.318 0.761 0.655
0.7 0.877 0.512 0.795 0.799
0.85 0.802 0.318 0.772 0.647
0.85 0.823 0.33 0.772 0.664
1.1 0.861 0.524 0.768 0.788
1.1 0.861 0.521 0.768 0.795
1.1 0.861 0.504 0.768 0.756
1.11 0.838 0.327 0.795 0.682
0.96 0.83 0.316 0.753 0.661
0.8 0.861 0.523 0.776 0.773
0.8 0.876 0.522 0.791 0.791
0.8 0.871 0.51 0.791 0.791
1.06 0.817 0.31 0.773 0.683
0.85 0.809 0.32 0.769 0.652
1.04 0.88 0.516 0.769 0.784
