AIE	NIR	rededge	NDVI	NDRE
1.01	0.580	0.292	0.838	0.331
1.01	0.516	0.274	0.838	0.306
0.97	0.541	0.276	0.838	0.323
0.92	0.570	0.291	0.839	0.323
1.05	0.668	0.219	0.881	0.516
1.00	0.636	0.203	0.878	0.516
1.00	0.703	0.224	0.880	0.517
1.03	0.721	0.236	0.886	0.517
0.88	0.584	0.295	0.794	0.302
0.88	0.498	0.267	0.794	0.302
0.63	0.493	0.266	0.795	0.299
0.79	0.562	0.281	0.795	0.299
0.68	0.669	0.213	0.878	0.507
0.65	0.628	0.205	0.878	0.507
0.65	0.688	0.227	0.879	0.504
0.65	0.734	0.233	0.879	0.504
1.18	0.593	0.304	0.828	0.322
1.17	0.556	0.275	0.828	0.338
0.98	0.556	0.276	0.828	0.337
0.96	0.528	0.274	0.840	0.322
0.80	0.721	0.216	0.894	0.539
0.85	0.661	0.209	0.890	0.539
0.83	0.720	0.232	0.885	0.539
0.80	0.756	0.233	0.892	0.529
0.89	0.575	0.293	0.809	0.316
0.89	0.543	0.273	0.809	0.316
0.98	0.524	0.270	0.809	0.320
0.98	0.530	0.278	0.809	0.312
1.00	0.696	0.216	0.888	0.526
1.05	0.668	0.219	0.888	0.526
1.00	0.728	0.224	0.890	0.530
1.02	0.712	0.216	0.890	0.535
1.20	0.562	0.281	0.838	0.333
0.96	0.518	0.276	0.838	0.333
0.99	0.517	0.271	0.838	0.333
1.09	0.552	0.287	0.834	0.333
1.06	0.634	0.193	0.879	0.532
1.05	0.691	0.216	0.877	0.524
1.05	0.663	0.216	0.875	0.524
1.05	0.726	0.239	0.873	0.524
0.95	0.540	0.277	0.826	0.312
0.95	0.520	0.272	0.814	0.312
0.95	0.500	0.268	0.809	0.303
0.95	0.524	0.274	0.809	0.314
0.95	0.648	0.200	0.873	0.511
0.95	0.670	0.207	0.873	0.511
0.95	0.657	0.213	0.873	0.511
0.95	0.739	0.244	0.873	0.503
0.84	0.496	0.249	0.810	0.332
0.98	0.468	0.248	0.809	0.332
0.98	0.487	0.250	0.818	0.321
0.98	0.478	0.252	0.818	0.321
1.10	0.635	0.197	0.878	0.526
1.00	0.680	0.216	0.883	0.526
1.05	0.695	0.223	0.880	0.526
1.23	0.726	0.243	0.880	0.526
0.72	0.507	0.261	0.809	0.300
0.72	0.464	0.250	0.809	0.300
0.75	0.471	0.254	0.796	0.299
0.68	0.506	0.261	0.813	0.299
1.00	0.661	0.206	0.867	0.503
1.00	0.671	0.214	0.867	0.503
1.00	0.683	0.215	0.867	0.503
1.00	0.704	0.233	0.867	0.503
0.92	0.524	0.260	0.822	0.338
0.86	0.438	0.253	0.822	0.338
0.90	0.493	0.260	0.831	0.331
1.01	0.629	0.316	0.831	0.331
0.97	0.619	0.196	0.879	0.519
0.82	0.706	0.223	0.877	0.519
0.95	0.630	0.211	0.877	0.519
0.95	0.659	0.227	0.877	0.519
0.99	0.522	0.265	0.821	0.281
0.91	0.485	0.273	0.773	0.281
0.88	0.488	0.261	0.785	0.303
0.88	0.550	0.278	0.823	0.303
0.90	0.619	0.197	0.860	0.504
0.90	0.694	0.218	0.860	0.504
0.90	0.646	0.213	0.860	0.504
0.90	0.671	0.231	0.860	0.488
1.06	0.517	0.276	0.831	0.346
1.06	0.533	0.279	0.831	0.346
1.17	0.550	0.267	0.834	0.346
1.17	0.543	0.287	0.834	0.346
0.79	0.596	0.196	0.882	0.517
0.85	0.656	0.220	0.882	0.517
0.73	0.710	0.226	0.881	0.517
0.86	0.744	0.235	0.885	0.520
0.90	0.494	0.269	0.792	0.294
0.90	0.520	0.277	0.792	0.305
0.86	0.533	0.270	0.792	0.305
0.86	0.506	0.266	0.799	0.305
0.90	0.607	0.198	0.879	0.509
0.90	0.653	0.215	0.874	0.505
0.90	0.704	0.226	0.874	0.505
0.90	0.718	0.230	0.874	0.505
1.46	0.421	0.223	0.844	0.326
1.46	0.622	0.316	0.844	0.326
1.46	0.444	0.239	0.844	0.326
1.46	0.494	0.259	0.844	0.326
0.94	0.619	0.202	0.882	0.512
0.94	0.665	0.218	0.882	0.512
0.97	0.728	0.235	0.888	0.512
0.97	0.732	0.236	0.882	0.512
0.67	0.464	0.245	0.802	0.309
0.74	0.641	0.329	0.802	0.309
0.74	0.433	0.236	0.789	0.294
0.72	0.527	0.268	0.789	0.294
0.90	0.625	0.194	0.871	0.515
0.90	0.660	0.211	0.871	0.515
0.90	0.708	0.228	0.871	0.513
0.90	0.737	0.233	0.871	0.513
1.25	0.625	0.312	0.831	0.334
1.21	0.535	0.272	0.831	0.325
1.21	0.595	0.295	0.830	0.337
1.21	0.565	0.292	0.830	0.319
0.73	0.667	0.216	0.882	0.512
0.73	0.645	0.207	0.890	0.514
0.73	0.712	0.227	0.888	0.517
0.73	0.716	0.230	0.892	0.513
1.26	0.614	0.312	0.835	0.326
1.26	0.517	0.268	0.821	0.318
1.31	0.587	0.293	0.838	0.334
1.31	0.531	0.272	0.798	0.322
0.70	0.681	0.218	0.877	0.515
0.70	0.635	0.214	0.877	0.495
0.70	0.722	0.233	0.877	0.512
0.70	0.690	0.224	0.877	0.510
1.10	0.536	0.278	0.834	0.318
1.10	0.536	0.269	0.834	0.332
1.00	0.523	0.266	0.834	0.326
1.01	0.598	0.297	0.834	0.336
1.35	0.693	0.215	0.883	0.527
1.28	0.688	0.210	0.886	0.532
1.29	0.672	0.229	0.876	0.492
1.30	0.653	0.213	0.876	0.507
0.85	0.525	0.272	0.802	0.318
0.85	0.532	0.268	0.823	0.330
0.85	0.513	0.265	0.812	0.319
0.91	0.571	0.284	0.812	0.335
1.10	0.693	0.216	0.861	0.524
1.10	0.694	0.219	0.861	0.521
1.10	0.672	0.238	0.861	0.477
1.10	0.628	0.207	0.861	0.504
1.11	0.566	0.287	0.838	0.327
0.95	0.530	0.262	0.838	0.338
1.01	0.567	0.283	0.838	0.334
0.91	0.572	0.290	0.838	0.327
0.91	0.704	0.220	0.863	0.524
0.91	0.716	0.213	0.863	0.542
0.91	0.690	0.230	0.863	0.499
0.91	0.650	0.195	0.863	0.539
1.09	0.533	0.271	0.833	0.325
0.96	0.537	0.270	0.833	0.331
0.96	0.534	0.277	0.830	0.316
0.99	0.546	0.268	0.830	0.341
0.80	0.688	0.211	0.861	0.530
0.80	0.722	0.224	0.861	0.526
0.80	0.691	0.239	0.861	0.485
0.80	0.655	0.205	0.861	0.523
0.97	0.533	0.275	0.832	0.319
0.90	0.544	0.285	0.832	0.313
1.08	0.519	0.268	0.832	0.318
1.08	0.579	0.298	0.832	0.321
0.82	0.670	0.208	0.880	0.526
0.80	0.709	0.223	0.876	0.522
0.80	0.716	0.232	0.871	0.510
0.80	0.699	0.230	0.884	0.505
1.04	0.521	0.268	0.817	0.320
1.06	0.560	0.295	0.817	0.310
1.10	0.526	0.275	0.811	0.314
0.85	0.526	0.271	0.809	0.320
1.04	0.698	0.220	0.880	0.521
1.04	0.690	0.220	0.880	0.516
1.04	0.714	0.233	0.880	0.508
1.04	0.677	0.218	0.880	0.513
