AIE NIR rededge NDVI NDRE
1 0.703 0.224 0.88 0.517
0.65 0.734 0.233 0.879 0.504
1 0.696 0.216 0.888 0.526
1.05 0.691 0.216 0.877 0.524
0.95 0.5 0.268 0.809 0.303
0.95 0.524 0.274 0.809 0.314
0.95 0.648 0.2 0.873 0.511
0.95 0.657 0.213 0.873 0.511
0.98 0.478 0.252 0.818 0.321
0.75 0.471 0.254 0.796 0.299
0.82 0.706 0.223 0.877 0.519
1.06 0.533 0.279 0.831 0.346
1.17 0.55 0.267 0.834 0.346
0.79 0.596 0.196 0.882 0.517
0.86 0.533 0.27 0.792 0.305
0.9 0.653 0.215 0.874 0.505
0.9 0.704 0.226 0.874 0.505
1.46 0.421 0.223 0.844 0.326
0.94 0.619 0.202 0.882 0.512
0.67 0.464 0.245 0.802 0.309
0.74 0.433 0.236 0.789 0.294
0.73 0.667 0.216 0.882 0.512
1.31 0.531 0.272 0.798 0.322
1 0.523 0.266 0.834 0.326
0.85 0.525 0.272 0.802 0.318
0.85 0.532 0.268 0.823 0.33
0.85 0.513 0.265 0.812 0.319
0.91 0.69 0.23 0.863 0.499
0.99 0.546 0.268 0.83 0.341
0.8 0.688 0.211 0.861 0.53
0.9 0.544 0.285 0.832 0.313
1.08 0.519 0.268 0.832 0.318
0.8 0.716 0.232 0.871 0.51
1.04 0.521 0.268 0.817 0.32
1.06 0.56 0.295 0.817 0.31
0.85 0.526 0.271 0.809 0.32
