AP NDVI NDRE GNDVI SAVI
2.39 0.838 0.331 0.786 0.702
2.28 0.838 0.306 0.786 0.641
2.28 0.838 0.323 0.786 0.666
1.98 0.881 0.516 0.789 0.775
1.9 0.878 0.516 0.788 0.758
1.86 0.88 0.517 0.794 0.791
1.89 0.886 0.517 0.794 0.804
1.78 0.794 0.302 0.769 0.705
1.78 0.794 0.302 0.769 0.627
1.78 0.795 0.299 0.758 0.697
1.75 0.878 0.507 0.784 0.774
1.69 0.879 0.504 0.784 0.813
2.54 0.828 0.322 0.79 0.687
2.55 0.828 0.337 0.79 0.682
1.65 0.894 0.539 0.807 0.809
1.63 0.89 0.539 0.807 0.778
1.6 0.885 0.539 0.807 0.803
1.65 0.892 0.529 0.803 0.823
2.39 0.809 0.316 0.779 0.679
2.37 0.809 0.316 0.782 0.669
2.35 0.809 0.32 0.784 0.665
2.44 0.809 0.312 0.784 0.666
1.53 0.888 0.526 0.784 0.796
1.53 0.888 0.526 0.784 0.78
1.48 0.89 0.53 0.784 0.81
1.45 0.89 0.535 0.784 0.803
2.55 0.838 0.333 0.786 0.692
2.35 0.838 0.333 0.786 0.647
2.22 0.838 0.333 0.771 0.641
2.01 0.879 0.532 0.791 0.757
2.03 0.877 0.524 0.797 0.784
2.1 0.875 0.524 0.789 0.769
2.2 0.873 0.524 0.786 0.796
2.06 0.826 0.312 0.777 0.672
2.06 0.814 0.312 0.764 0.652
2.06 0.809 0.303 0.764 0.637
1.81 0.873 0.511 0.791 0.764
1.73 0.873 0.511 0.791 0.776
1.79 0.873 0.503 0.786 0.801
2.1 0.809 0.332 0.78 0.618
2.12 0.818 0.321 0.78 0.634
2.12 0.818 0.321 0.78 0.618
2.08 0.883 0.526 0.797 0.783
2 0.88 0.526 0.785 0.787
2.1 0.809 0.3 0.736 0.643
2.08 0.809 0.3 0.736 0.614
2.08 0.796 0.299 0.736 0.611
2.05 0.813 0.299 0.736 0.643
1.72 0.867 0.503 0.795 0.777
1.78 0.867 0.503 0.793 0.781
2.21 0.822 0.338 0.786 0.66
2.13 0.822 0.338 0.786 0.557
2.13 0.831 0.331 0.782 0.636
2.51 0.831 0.331 0.771 0.721
2.3 0.879 0.519 0.794 0.75
2.1 0.877 0.519 0.795 0.791
2.1 0.877 0.519 0.795 0.751
2.1 0.877 0.519 0.795 0.759
2.18 0.773 0.281 0.744 0.606
2.07 0.785 0.303 0.768 0.615
2.16 0.823 0.303 0.768 0.676
1.79 0.86 0.504 0.786 0.747
1.82 0.86 0.504 0.786 0.788
1.76 0.86 0.504 0.786 0.762
1.73 0.86 0.488 0.778 0.762
2.41 0.831 0.346 0.777 0.649
2.42 0.831 0.346 0.792 0.67
2.54 0.834 0.346 0.792 0.682
2.3 0.834 0.346 0.792 0.658
1.8 0.882 0.517 0.795 0.762
1.82 0.881 0.517 0.795 0.795
1.8 0.885 0.52 0.798 0.813
2.29 0.792 0.294 0.798 0.623
2.39 0.799 0.305 0.752 0.634
1.61 0.879 0.509 0.79 0.743
1.57 0.874 0.505 0.789 0.763
1.54 0.874 0.505 0.789 0.795
1.64 0.874 0.505 0.789 0.8
2.17 0.844 0.326 0.777 0.577
2.65 0.844 0.326 0.777 0.727
2.06 0.844 0.326 0.77 0.625
2.03 0.882 0.512 0.789 0.752
1.95 0.882 0.512 0.787 0.768
2.02 0.888 0.512 0.791 0.808
1.98 0.882 0.512 0.793 0.806
1.85 0.802 0.309 0.762 0.61
1.85 0.802 0.309 0.762 0.732
1.9 0.789 0.294 0.762 0.582
1.9 0.789 0.294 0.726 0.656
1.72 0.871 0.515 0.796 0.756
1.7 0.871 0.515 0.791 0.769
1.81 0.871 0.513 0.791 0.798
1.79 0.871 0.513 0.791 0.81
2.74 0.831 0.334 0.778 0.72
2.45 0.831 0.325 0.784 0.665
2.37 0.83 0.337 0.784 0.704
2.52 0.83 0.319 0.784 0.674
1.75 0.882 0.512 0.788 0.776
1.7 0.89 0.514 0.791 0.771
1.68 0.888 0.517 0.798 0.801
2.47 0.821 0.318 0.761 0.655
1.67 0.798 0.322 0.766 0.648
1.71 0.877 0.512 0.795 0.799
1.53 0.877 0.51 0.795 0.789
2.5 0.834 0.332 0.789 0.665
2.39 0.834 0.326 0.789 0.654
2.51 0.834 0.336 0.789 0.708
2.3 0.883 0.527 0.797 0.789
2.2 0.886 0.532 0.799 0.788
2.29 0.876 0.507 0.799 0.765
2.41 0.802 0.318 0.772 0.647
2.23 0.823 0.33 0.772 0.664
2.4 0.812 0.335 0.771 0.692
1.56 0.861 0.524 0.768 0.788
1.55 0.861 0.521 0.768 0.795
1.62 0.861 0.477 0.768 0.764
1.52 0.861 0.504 0.768 0.756
2.71 0.838 0.327 0.795 0.682
2.42 0.838 0.338 0.795 0.673
2.53 0.838 0.327 0.795 0.685
1.62 0.863 0.524 0.804 0.794
1.62 0.863 0.499 0.804 0.773
1.62 0.863 0.539 0.806 0.767
2.49 0.833 0.325 0.779 0.662
2.37 0.833 0.331 0.779 0.674
2.47 0.83 0.341 0.753 0.677
1.73 0.861 0.485 0.776 0.772
1.79 0.861 0.523 0.776 0.773
2.3 0.832 0.319 0.782 0.655
2.1 0.832 0.321 0.782 0.685
1.81 0.88 0.526 0.791 0.776
1.8 0.876 0.522 0.791 0.791
1.73 0.871 0.51 0.791 0.791
1.8 0.884 0.505 0.79 0.792
2.55 0.817 0.31 0.773 0.683
2.42 0.811 0.314 0.77 0.654
2.4 0.809 0.32 0.769 0.652
