AP NDVI NDRE GNDVI SAVI
2.21 0.839 0.323 0.787 0.697
1.78 0.795 0.299 0.758 0.624
1.7 0.878 0.507 0.784 0.757
1.71 0.879 0.504 0.784 0.784
2.65 0.828 0.338 0.79 0.682
2.45 0.84 0.322 0.796 0.673
2.37 0.834 0.333 0.784 0.684
2.06 0.809 0.314 0.764 0.671
1.82 0.873 0.511 0.791 0.768
2.13 0.81 0.332 0.785 0.635
2.04 0.878 0.526 0.793 0.757
2.05 0.88 0.526 0.782 0.793
1.8 0.867 0.503 0.794 0.771
1.71 0.867 0.503 0.785 0.782
2.23 0.821 0.281 0.744 0.657
1.86 0.882 0.517 0.788 0.739
2.34 0.792 0.305 0.772 0.655
2.38 0.792 0.305 0.781 0.67
2.29 0.844 0.326 0.77 0.599
1.7 0.892 0.513 0.796 0.805
2.58 0.835 0.326 0.761 0.717
2.48 0.838 0.334 0.761 0.705
1.65 0.877 0.515 0.786 0.779
1.64 0.877 0.495 0.779 0.76
2.35 0.834 0.318 0.789 0.65
2.36 0.876 0.492 0.799 0.766
2.23 0.812 0.319 0.771 0.646
2.42 0.838 0.334 0.795 0.686
1.62 0.863 0.542 0.804 0.804
2.25 0.83 0.316 0.753 0.661
1.77 0.861 0.53 0.799 0.785
1.8 0.861 0.526 0.795 0.805
2.36 0.832 0.313 0.782 0.677
2.19 0.832 0.318 0.782 0.652
2.42 0.817 0.32 0.776 0.655
1.62 0.88 0.508 0.769 0.784
