CE NDVI NDRE GNDVI SAVI
18.46 0.795 0.299 0.758 0.697
12.34 0.878 0.507 0.784 0.774
12.09 0.879 0.504 0.784 0.784
18.14 0.828 0.322 0.79 0.687
14.53 0.89 0.539 0.807 0.778
14.31 0.892 0.529 0.803 0.823
15.68 0.809 0.312 0.784 0.666
11.69 0.888 0.526 0.784 0.78
11.83 0.89 0.53 0.784 0.81
15.44 0.838 0.333 0.786 0.692
12.74 0.873 0.511 0.791 0.768
18.95 0.883 0.526 0.797 0.783
19.07 0.88 0.526 0.782 0.793
23 0.822 0.338 0.786 0.557
17.52 0.877 0.519 0.795 0.791
17.41 0.877 0.519 0.795 0.751
11.28 0.86 0.488 0.778 0.762
14.8 0.882 0.517 0.788 0.739
14.23 0.882 0.517 0.795 0.762
14.67 0.885 0.52 0.798 0.813
12.01 0.874 0.505 0.789 0.763
19.9 0.844 0.326 0.777 0.577
19.56 0.83 0.319 0.784 0.674
14.01 0.888 0.517 0.798 0.801
17.96 0.835 0.326 0.761 0.717
18.5 0.834 0.332 0.789 0.665
16.04 0.883 0.527 0.797 0.789
19.02 0.838 0.327 0.795 0.682
13.25 0.863 0.499 0.804 0.773
19 0.833 0.325 0.779 0.662
17.54 0.833 0.331 0.779 0.674
16.98 0.83 0.316 0.753 0.661
23.78 0.83 0.341 0.753 0.677
19.94 0.832 0.321 0.782 0.685
11.66 0.88 0.521 0.769 0.784
11.39 0.88 0.513 0.769 0.782
