DC	NDVI	NDRE	GNDVI	SAVI
1.91	0.838	0.331	0.786	0.702
1.66	0.838	0.306	0.786	0.641
1.75	0.838	0.323	0.786	0.666
1.87	0.839	0.323	0.787	0.697
1.59	0.881	0.516	0.789	0.775
1.59	0.878	0.516	0.788	0.758
1.59	0.880	0.517	0.794	0.791
1.61	0.886	0.517	0.794	0.804
1.94	0.794	0.302	0.769	0.705
1.93	0.794	0.302	0.769	0.627
1.57	0.795	0.299	0.758	0.624
1.80	0.795	0.299	0.758	0.697
1.67	0.878	0.507	0.784	0.774
1.70	0.878	0.507	0.784	0.757
1.66	0.879	0.504	0.784	0.784
1.72	0.879	0.504	0.784	0.813
1.81	0.828	0.322	0.790	0.687
1.88	0.828	0.338	0.790	0.682
1.78	0.828	0.337	0.790	0.682
1.93	0.840	0.322	0.796	0.673
1.39	0.894	0.539	0.807	0.809
1.37	0.890	0.539	0.807	0.778
1.37	0.885	0.539	0.807	0.803
1.42	0.892	0.529	0.803	0.823
1.97	0.809	0.316	0.779	0.679
1.87	0.809	0.316	0.782	0.669
1.69	0.809	0.320	0.784	0.665
1.85	0.809	0.312	0.784	0.666
1.58	0.888	0.526	0.784	0.796
1.55	0.888	0.526	0.784	0.780
1.44	0.890	0.530	0.784	0.810
1.27	0.890	0.535	0.784	0.803
1.67	0.838	0.333	0.786	0.692
1.88	0.838	0.333	0.786	0.647
1.72	0.838	0.333	0.771	0.641
1.77	0.834	0.333	0.784	0.684
1.62	0.879	0.532	0.791	0.757
1.59	0.877	0.524	0.797	0.784
1.62	0.875	0.524	0.789	0.769
1.62	0.873	0.524	0.786	0.796
1.59	0.826	0.312	0.777	0.672
1.92	0.814	0.312	0.764	0.652
1.62	0.809	0.303	0.764	0.637
1.76	0.809	0.314	0.764	0.671
1.60	0.873	0.511	0.791	0.764
1.59	0.873	0.511	0.791	0.776
1.63	0.873	0.511	0.791	0.768
1.59	0.873	0.503	0.786	0.801
2.20	0.810	0.332	0.785	0.635
1.72	0.809	0.332	0.780	0.618
1.78	0.818	0.321	0.780	0.634
1.83	0.818	0.321	0.780	0.618
1.97	0.878	0.526	0.793	0.757
1.91	0.883	0.526	0.797	0.783
1.91	0.880	0.526	0.785	0.787
1.91	0.880	0.526	0.782	0.793
1.80	0.809	0.300	0.736	0.643
1.78	0.809	0.300	0.736	0.614
1.72	0.796	0.299	0.736	0.611
1.65	0.813	0.299	0.736	0.643
1.44	0.867	0.503	0.794	0.771
1.30	0.867	0.503	0.795	0.777
1.27	0.867	0.503	0.793	0.781
1.37	0.867	0.503	0.785	0.782
2.01	0.822	0.338	0.786	0.660
1.72	0.822	0.338	0.786	0.557
1.59	0.831	0.331	0.782	0.636
1.81	0.831	0.331	0.771	0.721
2.11	0.879	0.519	0.794	0.750
2.01	0.877	0.519	0.795	0.791
1.94	0.877	0.519	0.795	0.751
2.00	0.877	0.519	0.795	0.759
1.96	0.821	0.281	0.744	0.657
1.72	0.773	0.281	0.744	0.606
1.91	0.785	0.303	0.768	0.615
1.85	0.823	0.303	0.768	0.676
0.95	0.860	0.504	0.786	0.747
1.07	0.860	0.504	0.786	0.788
1.19	0.860	0.504	0.786	0.762
1.13	0.860	0.488	0.778	0.762
1.81	0.831	0.346	0.777	0.649
1.69	0.831	0.346	0.792	0.670
1.91	0.834	0.346	0.792	0.682
1.86	0.834	0.346	0.792	0.658
1.72	0.882	0.517	0.788	0.739
1.66	0.882	0.517	0.795	0.762
1.69	0.881	0.517	0.795	0.795
1.63	0.885	0.520	0.798	0.813
2.11	0.792	0.294	0.798	0.623
1.71	0.792	0.305	0.772	0.655
1.85	0.792	0.305	0.781	0.670
1.97	0.799	0.305	0.752	0.634
0.93	0.879	0.509	0.790	0.743
0.90	0.874	0.505	0.789	0.763
0.90	0.874	0.505	0.789	0.795
0.91	0.874	0.505	0.789	0.800
1.69	0.844	0.326	0.777	0.577
1.77	0.844	0.326	0.777	0.727
1.78	0.844	0.326	0.770	0.599
1.90	0.844	0.326	0.770	0.625
2.09	0.882	0.512	0.789	0.752
2.10	0.882	0.512	0.787	0.768
2.08	0.888	0.512	0.791	0.808
2.01	0.882	0.512	0.793	0.806
1.50	0.802	0.309	0.762	0.610
1.73	0.802	0.309	0.762	0.732
1.59	0.789	0.294	0.762	0.582
1.60	0.789	0.294	0.726	0.656
1.70	0.871	0.515	0.796	0.756
1.75	0.871	0.515	0.791	0.769
1.66	0.871	0.513	0.791	0.798
1.74	0.871	0.513	0.791	0.810
1.81	0.831	0.334	0.778	0.720
2.13	0.831	0.325	0.784	0.665
1.94	0.830	0.337	0.784	0.704
2.04	0.830	0.319	0.784	0.674
1.37	0.882	0.512	0.788	0.776
1.37	0.890	0.514	0.791	0.771
1.34	0.888	0.517	0.798	0.801
1.36	0.892	0.513	0.796	0.805
1.97	0.835	0.326	0.761	0.717
2.02	0.821	0.318	0.761	0.655
1.62	0.838	0.334	0.761	0.705
2.07	0.798	0.322	0.766	0.648
0.91	0.877	0.515	0.786	0.779
0.80	0.877	0.495	0.779	0.760
0.81	0.877	0.512	0.795	0.799
0.89	0.877	0.510	0.795	0.789
2.06	0.834	0.318	0.789	0.650
1.92	0.834	0.332	0.789	0.665
1.73	0.834	0.326	0.789	0.654
1.80	0.834	0.336	0.789	0.708
1.99	0.883	0.527	0.797	0.789
1.94	0.886	0.532	0.799	0.788
2.01	0.876	0.492	0.799	0.766
2.00	0.876	0.507	0.799	0.765
2.13	0.802	0.318	0.772	0.647
1.90	0.823	0.330	0.772	0.664
1.80	0.812	0.319	0.771	0.646
1.66	0.812	0.335	0.771	0.692
1.45	0.861	0.524	0.768	0.788
1.53	0.861	0.521	0.768	0.795
1.47	0.861	0.477	0.768	0.764
1.37	0.861	0.504	0.768	0.756
2.07	0.838	0.327	0.795	0.682
1.90	0.838	0.338	0.795	0.673
2.04	0.838	0.334	0.795	0.686
1.91	0.838	0.327	0.795	0.685
1.36	0.863	0.524	0.804	0.794
1.26	0.863	0.542	0.804	0.804
1.37	0.863	0.499	0.804	0.773
1.39	0.863	0.539	0.806	0.767
2.07	0.833	0.325	0.779	0.662
1.81	0.833	0.331	0.779	0.674
1.50	0.830	0.316	0.753	0.661
2.13	0.830	0.341	0.753	0.677
1.45	0.861	0.530	0.799	0.785
1.27	0.861	0.526	0.795	0.805
1.19	0.861	0.485	0.776	0.772
1.32	0.861	0.523	0.776	0.773
2.04	0.832	0.319	0.782	0.655
1.71	0.832	0.313	0.782	0.677
1.76	0.832	0.318	0.782	0.652
1.86	0.832	0.321	0.782	0.685
1.82	0.880	0.526	0.791	0.776
1.77	0.876	0.522	0.791	0.791
1.92	0.871	0.510	0.791	0.791
1.87	0.884	0.505	0.790	0.792
2.10	0.817	0.320	0.776	0.655
1.77	0.817	0.310	0.773	0.683
1.88	0.811	0.314	0.770	0.654
1.85	0.809	0.320	0.769	0.652
1.34	0.880	0.521	0.769	0.784
1.42	0.880	0.516	0.769	0.784
1.32	0.880	0.508	0.769	0.784
1.36	0.880	0.513	0.769	0.782
