DC NDVI NDRE GNDVI SAVI
1.87 0.839 0.323 0.787 0.697
1.59 0.88 0.517 0.794 0.791
1.93 0.794 0.302 0.769 0.627
1.81 0.828 0.322 0.79 0.687
1.55 0.888 0.526 0.784 0.78
1.88 0.838 0.333 0.786 0.647
1.72 0.838 0.333 0.771 0.641
1.8 0.809 0.3 0.736 0.643
1.59 0.831 0.331 0.782 0.636
1.81 0.831 0.331 0.771 0.721
1.96 0.821 0.281 0.744 0.657
1.91 0.785 0.303 0.768 0.615
1.85 0.823 0.303 0.768 0.676
1.69 0.831 0.346 0.792 0.67
1.69 0.881 0.517 0.795 0.795
1.85 0.792 0.305 0.781 0.67
0.9 0.874 0.505 0.789 0.763
0.9 0.874 0.505 0.789 0.795
0.91 0.874 0.505 0.789 0.8
1.69 0.844 0.326 0.777 0.577
1.77 0.844 0.326 0.777 0.727
1.9 0.844 0.326 0.77 0.625
1.5 0.802 0.309 0.762 0.61
1.6 0.789 0.294 0.726 0.656
1.81 0.831 0.334 0.778 0.72
1.97 0.835 0.326 0.761 0.717
0.8 0.877 0.495 0.779 0.76
2.06 0.834 0.318 0.789 0.65
1.9 0.823 0.33 0.772 0.664
2.04 0.838 0.334 0.795 0.686
1.36 0.863 0.524 0.804 0.794
1.37 0.863 0.499 0.804 0.773
1.76 0.832 0.318 0.782 0.652
2.1 0.817 0.32 0.776 0.655
1.34 0.88 0.521 0.769 0.784
1.36 0.88 0.513 0.769 0.782
