NFE	NDVI	NDRE	GNDVI	SAVI
14.40	0.838	0.331	0.786	0.702
12.80	0.838	0.306	0.786	0.641
14.40	0.838	0.323	0.786	0.666
14.00	0.839	0.323	0.787	0.697
14.00	0.881	0.516	0.789	0.775
14.00	0.878	0.516	0.788	0.758
12.00	0.880	0.517	0.794	0.791
14.00	0.886	0.517	0.794	0.804
15.60	0.794	0.302	0.769	0.705
12.80	0.794	0.302	0.769	0.627
12.98	0.795	0.299	0.758	0.624
13.60	0.795	0.299	0.758	0.697
10.00	0.878	0.507	0.784	0.774
10.00	0.878	0.507	0.784	0.757
12.00	0.879	0.504	0.784	0.784
12.00	0.879	0.504	0.784	0.813
13.20	0.828	0.322	0.790	0.687
14.00	0.828	0.338	0.790	0.682
15.60	0.828	0.337	0.790	0.682
13.20	0.840	0.322	0.796	0.673
12.00	0.894	0.539	0.807	0.809
12.00	0.890	0.539	0.807	0.778
12.00	0.885	0.539	0.807	0.803
12.00	0.892	0.529	0.803	0.823
14.40	0.809	0.316	0.779	0.679
14.40	0.809	0.316	0.782	0.669
14.40	0.809	0.320	0.784	0.665
14.80	0.809	0.312	0.784	0.666
10.00	0.888	0.526	0.784	0.796
8.00	0.888	0.526	0.784	0.780
8.00	0.890	0.530	0.784	0.810
8.00	0.890	0.535	0.784	0.803
13.20	0.838	0.333	0.786	0.692
13.60	0.838	0.333	0.786	0.647
13.20	0.838	0.333	0.771	0.641
12.40	0.834	0.333	0.784	0.684
14.00	0.879	0.532	0.791	0.757
14.00	0.877	0.524	0.797	0.784
14.00	0.875	0.524	0.789	0.769
12.00	0.873	0.524	0.786	0.796
14.80	0.826	0.312	0.777	0.672
13.60	0.814	0.312	0.764	0.652
13.80	0.809	0.303	0.764	0.637
14.00	0.809	0.314	0.764	0.671
12.00	0.873	0.511	0.791	0.764
10.00	0.873	0.511	0.791	0.776
10.00	0.873	0.511	0.791	0.768
12.00	0.873	0.503	0.786	0.801
14.00	0.810	0.332	0.785	0.635
14.80	0.809	0.332	0.780	0.618
14.40	0.818	0.321	0.780	0.634
14.40	0.818	0.321	0.780	0.618
14.00	0.878	0.526	0.793	0.757
14.00	0.883	0.526	0.797	0.783
14.00	0.880	0.526	0.785	0.787
16.00	0.880	0.526	0.782	0.793
13.20	0.809	0.300	0.736	0.643
14.00	0.809	0.300	0.736	0.614
13.20	0.796	0.299	0.736	0.611
13.60	0.813	0.299	0.736	0.643
8.00	0.867	0.503	0.794	0.771
8.00	0.867	0.503	0.795	0.777
10.00	0.867	0.503	0.793	0.781
8.00	0.867	0.503	0.785	0.782
12.40	0.822	0.338	0.786	0.660
