NFE NDVI NDRE GNDVI SAVI
14.4 0.838 0.331 0.786 0.702
12.8 0.838 0.306 0.786 0.641
14 0.839 0.323 0.787 0.697
14 0.881 0.516 0.789 0.775
14 0.878 0.516 0.788 0.758
12 0.88 0.517 0.794 0.791
14 0.886 0.517 0.794 0.804
15.6 0.794 0.302 0.769 0.705
12.8 0.794 0.302 0.769 0.627
12.98 0.795 0.299 0.758 0.624
13.6 0.795 0.299 0.758 0.697
10 0.878 0.507 0.784 0.774
10 0.878 0.507 0.784 0.757
12 0.879 0.504 0.784 0.784
13.2 0.828 0.322 0.79 0.687
14 0.828 0.338 0.79 0.682
15.6 0.828 0.337 0.79 0.682
13.2 0.84 0.322 0.796 0.673
12 0.894 0.539 0.807 0.809
12 0.885 0.539 0.807 0.803
14.4 0.809 0.32 0.784 0.665
10 0.888 0.526 0.784 0.796
8 0.888 0.526 0.784 0.78
8 0.89 0.535 0.784 0.803
13.2 0.838 0.333 0.786 0.692
13.2 0.838 0.333 0.771 0.641
12.4 0.834 0.333 0.784 0.684
14 0.879 0.532 0.791 0.757
14 0.875 0.524 0.789 0.769
14.8 0.826 0.312 0.777 0.672
13.6 0.814 0.312 0.764 0.652
13.8 0.809 0.303 0.764 0.637
14 0.809 0.314 0.764 0.671
12 0.873 0.511 0.791 0.764
10 0.873 0.511 0.791 0.768
12 0.873 0.503 0.786 0.801
14 0.81 0.332 0.785 0.635
14.8 0.809 0.332 0.78 0.618
14.4 0.818 0.321 0.78 0.634
14.4 0.818 0.321 0.78 0.618
14 0.878 0.526 0.793 0.757
16 0.88 0.526 0.782 0.793
14 0.809 0.3 0.736 0.614
13.2 0.796 0.299 0.736 0.611
13.6 0.813 0.299 0.736 0.643
8 0.867 0.503 0.794 0.771
8 0.867 0.503 0.795 0.777
10 0.867 0.503 0.793 0.781
12.4 0.822 0.338 0.786 0.66
12.4 0.822 0.338 0.786 0.557
14.4 0.831 0.331 0.782 0.636
14.8 0.831 0.331 0.771 0.721
14 0.879 0.519 0.794 0.75
16 0.877 0.519 0.795 0.751
14 0.877 0.519 0.795 0.759
12.4 0.821 0.281 0.744 0.657
12.4 0.773 0.281 0.744 0.606
14 0.785 0.303 0.768 0.615
14 0.823 0.303 0.768 0.676
8 0.86 0.504 0.786 0.747
10 0.86 0.504 0.786 0.788
10 0.86 0.504 0.786 0.762
10 0.86 0.488 0.778 0.762
16 0.831 0.346 0.777 0.649
14.4 0.831 0.346 0.792 0.67
14 0.834 0.346 0.792 0.682
15.6 0.834 0.346 0.792 0.658
12 0.881 0.517 0.795 0.795
10 0.885 0.52 0.798 0.813
13.2 0.792 0.294 0.798 0.623
15.2 0.792 0.305 0.772 0.655
14 0.799 0.305 0.752 0.634
8 0.874 0.505 0.789 0.795
6 0.874 0.505 0.789 0.8
14.8 0.844 0.326 0.777 0.577
14.4 0.844 0.326 0.77 0.599
14.4 0.844 0.326 0.77 0.625
14 0.882 0.512 0.789 0.752
14 0.882 0.512 0.787 0.768
16 0.888 0.512 0.791 0.808
13.6 0.802 0.309 0.762 0.61
13.6 0.802 0.309 0.762 0.732
14 0.789 0.294 0.762 0.582
15.2 0.789 0.294 0.726 0.656
12 0.871 0.515 0.796 0.756
10 0.871 0.515 0.791 0.769
10 0.871 0.513 0.791 0.798
10 0.871 0.513 0.791 0.81
13.2 0.831 0.325 0.784 0.665
15.2 0.83 0.337 0.784 0.704
14.4 0.83 0.319 0.784 0.674
12 0.882 0.512 0.788 0.776
10 0.89 0.514 0.791 0.771
10 0.888 0.517 0.798 0.801
14 0.835 0.326 0.761 0.717
13.6 0.821 0.318 0.761 0.655
15.2 0.798 0.322 0.766 0.648
6 0.877 0.515 0.786 0.779
8 0.877 0.512 0.795 0.799
8 0.877 0.51 0.795 0.789
14 0.834 0.318 0.789 0.65
14.4 0.834 0.332 0.789 0.665
15.2 0.834 0.326 0.789 0.654
14 0.883 0.527 0.797 0.789
16 0.886 0.532 0.799 0.788
16 0.876 0.492 0.799 0.766
14 0.876 0.507 0.799 0.765
14.8 0.802 0.318 0.772 0.647
14.8 0.823 0.33 0.772 0.664
14.8 0.812 0.319 0.771 0.646
13.6 0.812 0.335 0.771 0.692
8 0.861 0.524 0.768 0.788
8 0.861 0.477 0.768 0.764
8 0.861 0.504 0.768 0.756
14 0.838 0.327 0.795 0.682
16 0.838 0.338 0.795 0.673
14 0.838 0.334 0.795 0.686
13.6 0.838 0.327 0.795 0.685
10 0.863 0.524 0.804 0.794
8 0.863 0.542 0.804 0.804
10 0.863 0.499 0.804 0.773
10 0.863 0.539 0.806 0.767
13.2 0.83 0.316 0.753 0.661
8 0.861 0.53 0.799 0.785
10 0.861 0.526 0.795 0.805
8 0.861 0.485 0.776 0.772
14.4 0.832 0.319 0.782 0.655
12.8 0.832 0.313 0.782 0.677
14.4 0.832 0.318 0.782 0.652
12 0.88 0.526 0.791 0.776
12 0.871 0.51 0.791 0.791
10 0.884 0.505 0.79 0.792
13.2 0.817 0.32 0.776 0.655
13.2 0.817 0.31 0.773 0.683
13.6 0.811 0.314 0.77 0.654
14 0.809 0.32 0.769 0.652
10 0.88 0.521 0.769 0.784
10 0.88 0.516 0.769 0.784
10 0.88 0.508 0.769 0.784
12 0.88 0.513 0.769 0.782
