NFE NDVI NDRE GNDVI SAVI
14.4 0.838 0.323 0.786 0.666
12 0.879 0.504 0.784 0.813
12 0.89 0.539 0.807 0.778
12 0.892 0.529 0.803 0.823
14.4 0.809 0.316 0.779 0.679
14.4 0.809 0.316 0.782 0.669
14.8 0.809 0.312 0.784 0.666
8 0.89 0.53 0.784 0.81
13.6 0.838 0.333 0.786 0.647
14 0.877 0.524 0.797 0.784
12 0.873 0.524 0.786 0.796
10 0.873 0.511 0.791 0.776
14 0.883 0.526 0.797 0.783
14 0.88 0.526 0.785 0.787
13.2 0.809 0.3 0.736 0.643
8 0.867 0.503 0.785 0.782
14 0.877 0.519 0.795 0.791
12 0.882 0.517 0.788 0.739
12 0.882 0.517 0.795 0.762
15.6 0.792 0.305 0.781 0.67
8 0.879 0.509 0.79 0.743
6 0.874 0.505 0.789 0.763
14.8 0.844 0.326 0.777 0.727
14 0.882 0.512 0.793 0.806
14 0.831 0.334 0.778 0.72
12 0.892 0.513 0.796 0.805
14 0.838 0.334 0.761 0.705
8 0.877 0.495 0.779 0.76
15.6 0.834 0.336 0.789 0.708
10 0.861 0.521 0.768 0.795
13.6 0.833 0.325 0.779 0.662
14.8 0.833 0.331 0.779 0.674
13.2 0.83 0.341 0.753 0.677
8 0.861 0.523 0.776 0.773
14 0.832 0.321 0.782 0.685
10 0.876 0.522 0.791 0.791
