NGF	NDVI	NDRE	GNDVI	SAVI
31.00	0.838	0.331	0.786	0.702
31.40	0.838	0.306	0.786	0.641
29.00	0.838	0.323	0.786	0.666
29.00	0.839	0.323	0.787	0.697
26.00	0.881	0.516	0.789	0.775
25.00	0.878	0.516	0.788	0.758
25.00	0.880	0.517	0.794	0.791
26.00	0.886	0.517	0.794	0.804
31.40	0.794	0.302	0.769	0.705
28.40	0.794	0.302	0.769	0.627
32.60	0.795	0.299	0.758	0.624
30.00	0.795	0.299	0.758	0.697
18.00	0.878	0.507	0.784	0.774
20.00	0.878	0.507	0.784	0.757
26.00	0.879	0.504	0.784	0.784
18.00	0.879	0.504	0.784	0.813
34.00	0.828	0.322	0.790	0.687
33.00	0.828	0.338	0.790	0.682
40.20	0.828	0.337	0.790	0.682
34.00	0.840	0.322	0.796	0.673
21.00	0.894	0.539	0.807	0.809
20.00	0.890	0.539	0.807	0.778
21.00	0.885	0.539	0.807	0.803
20.00	0.892	0.529	0.803	0.823
28.00	0.809	0.316	0.779	0.679
32.20	0.809	0.316	0.782	0.669
28.00	0.809	0.320	0.784	0.665
23.00	0.809	0.312	0.784	0.666
16.00	0.888	0.526	0.784	0.796
14.00	0.888	0.526	0.784	0.780
13.00	0.890	0.530	0.784	0.810
11.00	0.890	0.535	0.784	0.803
32.20	0.838	0.333	0.786	0.692
34.40	0.838	0.333	0.786	0.647
33.80	0.838	0.333	0.771	0.641
32.80	0.834	0.333	0.784	0.684
31.00	0.879	0.532	0.791	0.757
30.00	0.877	0.524	0.797	0.784
31.00	0.875	0.524	0.789	0.769
29.00	0.873	0.524	0.786	0.796
28.40	0.826	0.312	0.777	0.672
34.20	0.814	0.312	0.764	0.652
33.60	0.809	0.303	0.764	0.637
33.80	0.809	0.314	0.764	0.671
17.00	0.873	0.511	0.791	0.764
19.00	0.873	0.511	0.791	0.776
20.00	0.873	0.511	0.791	0.768
18.00	0.873	0.503	0.786	0.801
27.80	0.810	0.332	0.785	0.635
32.00	0.809	0.332	0.780	0.618
29.40	0.818	0.321	0.780	0.634
37.40	0.818	0.321	0.780	0.618
30.00	0.878	0.526	0.793	0.757
30.80	0.883	0.526	0.797	0.783
30.10	0.880	0.526	0.785	0.787
30.20	0.880	0.526	0.782	0.793
28.80	0.809	0.300	0.736	0.643
28.60	0.809	0.300	0.736	0.614
28.80	0.796	0.299	0.736	0.611
37.00	0.813	0.299	0.736	0.643
13.00	0.867	0.503	0.794	0.771
12.00	0.867	0.503	0.795	0.777
11.00	0.867	0.503	0.793	0.781
12.00	0.867	0.503	0.785	0.782
30.60	0.822	0.338	0.786	0.660
30.60	0.822	0.338	0.786	0.557
28.20	0.831	0.331	0.782	0.636
37.00	0.831	0.331	0.771	0.721
30.00	0.879	0.519	0.794	0.750
29.00	0.877	0.519	0.795	0.791
31.00	0.877	0.519	0.795	0.751
30.00	0.877	0.519	0.795	0.759
30.60	0.821	0.281	0.744	0.657
21.60	0.773	0.281	0.744	0.606
29.80	0.785	0.303	0.768	0.615
34.80	0.823	0.303	0.768	0.676
11.00	0.860	0.504	0.786	0.747
10.00	0.860	0.504	0.786	0.788
11.00	0.860	0.504	0.786	0.762
12.00	0.860	0.488	0.778	0.762
24.20	0.831	0.346	0.777	0.649
31.00	0.831	0.346	0.792	0.670
36.40	0.834	0.346	0.792	0.682
32.80	0.834	0.346	0.792	0.658
28.00	0.882	0.517	0.788	0.739
22.00	0.882	0.517	0.795	0.762
26.00	0.881	0.517	0.795	0.795
27.00	0.885	0.520	0.798	0.813
26.20	0.792	0.294	0.798	0.623
34.00	0.792	0.305	0.772	0.655
34.40	0.792	0.305	0.781	0.670
36.20	0.799	0.305	0.752	0.634
13.00	0.879	0.509	0.790	0.743
10.00	0.874	0.505	0.789	0.763
10.00	0.874	0.505	0.789	0.795
12.00	0.874	0.505	0.789	0.800
34.40	0.844	0.326	0.777	0.577
28.80	0.844	0.326	0.777	0.727
27.20	0.844	0.326	0.770	0.599
30.80	0.844	0.326	0.770	0.625
28.00	0.882	0.512	0.789	0.752
31.00	0.882	0.512	0.787	0.768
30.00	0.888	0.512	0.791	0.808
31.00	0.882	0.512	0.793	0.806
30.40	0.802	0.309	0.762	0.610
32.60	0.802	0.309	0.762	0.732
32.20	0.789	0.294	0.762	0.582
35.20	0.789	0.294	0.726	0.656
14.00	0.871	0.515	0.796	0.756
16.00	0.871	0.515	0.791	0.769
19.00	0.871	0.513	0.791	0.798
15.00	0.871	0.513	0.791	0.810
32.80	0.831	0.334	0.778	0.720
30.20	0.831	0.325	0.784	0.665
33.80	0.830	0.337	0.784	0.704
31.80	0.830	0.319	0.784	0.674
20.00	0.882	0.512	0.788	0.776
18.00	0.890	0.514	0.791	0.771
20.00	0.888	0.517	0.798	0.801
17.00	0.892	0.513	0.796	0.805
31.80	0.835	0.326	0.761	0.717
34.80	0.821	0.318	0.761	0.655
34.80	0.838	0.334	0.761	0.705
31.80	0.798	0.322	0.766	0.648
11.00	0.877	0.515	0.786	0.779
13.00	0.877	0.495	0.779	0.760
10.00	0.877	0.512	0.795	0.799
11.00	0.877	0.510	0.795	0.789
30.00	0.834	0.318	0.789	0.650
40.20	0.834	0.332	0.789	0.665
