NGF NDVI NDRE GNDVI SAVI
31.4 0.838 0.306 0.786 0.641
29 0.838 0.323 0.786 0.666
29 0.839 0.323 0.787 0.697
26 0.881 0.516 0.789 0.775
25 0.88 0.517 0.794 0.791
26 0.886 0.517 0.794 0.804
31.4 0.794 0.302 0.769 0.705
28.4 0.794 0.302 0.769 0.627
32.6 0.795 0.299 0.758 0.624
30 0.795 0.299 0.758 0.697
20 0.878 0.507 0.784 0.757
26 0.879 0.504 0.784 0.784
18 0.879 0.504 0.784 0.813
34 0.828 0.322 0.79 0.687
40.2 0.828 0.337 0.79 0.682
34 0.84 0.322 0.796 0.673
21 0.894 0.539 0.807 0.809
20 0.892 0.529 0.803 0.823
28 0.809 0.316 0.779 0.679
32.2 0.809 0.316 0.782 0.669
28 0.809 0.32 0.784 0.665
23 0.809 0.312 0.784 0.666
16 0.888 0.526 0.784 0.796
14 0.888 0.526 0.784 0.78
32.2 0.838 0.333 0.786 0.692
34.4 0.838 0.333 0.786 0.647
33.8 0.838 0.333 0.771 0.641
31 0.879 0.532 0.791 0.757
30 0.877 0.524 0.797 0.784
29 0.873 0.524 0.786 0.796
28.4 0.826 0.312 0.777 0.672
34.2 0.814 0.312 0.764 0.652
33.6 0.809 0.303 0.764 0.637
33.8 0.809 0.314 0.764 0.671
17 0.873 0.511 0.791 0.764
19 0.873 0.511 0.791 0.776
20 0.873 0.511 0.791 0.768
27.8 0.81 0.332 0.785 0.635
32 0.809 0.332 0.78 0.618
29.4 0.818 0.321 0.78 0.634
30.8 0.883 0.526 0.797 0.783
30.1 0.88 0.526 0.785 0.787
30.2 0.88 0.526 0.782 0.793
28.8 0.809 0.3 0.736 0.643
28.8 0.796 0.299 0.736 0.611
37 0.813 0.299 0.736 0.643
13 0.867 0.503 0.794 0.771
12 0.867 0.503 0.795 0.777
11 0.867 0.503 0.793 0.781
12 0.867 0.503 0.785 0.782
30.6 0.822 0.338 0.786 0.66
30.6 0.822 0.338 0.786 0.557
28.2 0.831 0.331 0.782 0.636
37 0.831 0.331 0.771 0.721
30 0.879 0.519 0.794 0.75
29 0.877 0.519 0.795 0.791
31 0.877 0.519 0.795 0.751
30 0.877 0.519 0.795 0.759
21.6 0.773 0.281 0.744 0.606
29.8 0.785 0.303 0.768 0.615
11 0.86 0.504 0.786 0.747
10 0.86 0.504 0.786 0.788
11 0.86 0.504 0.786 0.762
12 0.86 0.488 0.778 0.762
24.2 0.831 0.346 0.777 0.649
31 0.831 0.346 0.792 0.67
28 0.882 0.517 0.788 0.739
22 0.882 0.517 0.795 0.762
26 0.881 0.517 0.795 0.795
27 0.885 0.52 0.798 0.813
26.2 0.792 0.294 0.798 0.623
34 0.792 0.305 0.772 0.655
34.4 0.792 0.305 0.781 0.67
36.2 0.799 0.305 0.752 0.634
13 0.879 0.509 0.79 0.743
10 0.874 0.505 0.789 0.763
10 0.874 0.505 0.789 0.795
12 0.874 0.505 0.789 0.8
34.4 0.844 0.326 0.777 0.577
28.8 0.844 0.326 0.777 0.727
27.2 0.844 0.326 0.77 0.599
30.8 0.844 0.326 0.77 0.625
28 0.882 0.512 0.789 0.752
31 0.882 0.512 0.787 0.768
30 0.888 0.512 0.791 0.808
30.4 0.802 0.309 0.762 0.61
32.2 0.789 0.294 0.762 0.582
14 0.871 0.515 0.796 0.756
16 0.871 0.515 0.791 0.769
15 0.871 0.513 0.791 0.81
32.8 0.831 0.334 0.778 0.72
30.2 0.831 0.325 0.784 0.665
33.8 0.83 0.337 0.784 0.704
31.8 0.83 0.319 0.784 0.674
20 0.888 0.517 0.798 0.801
17 0.892 0.513 0.796 0.805
34.8 0.821 0.318 0.761 0.655
34.8 0.838 0.334 0.761 0.705
31.8 0.798 0.322 0.766 0.648
11 0.877 0.515 0.786 0.779
13 0.877 0.495 0.779 0.76
10 0.877 0.512 0.795 0.799
11 0.877 0.51 0.795 0.789
30 0.834 0.318 0.789 0.65
40.2 0.834 0.332 0.789 0.665
29.4 0.834 0.326 0.789 0.654
36.8 0.834 0.336 0.789 0.708
33 0.883 0.527 0.797 0.789
29 0.876 0.507 0.799 0.765
27.25 0.802 0.318 0.772 0.647
31.4 0.812 0.319 0.771 0.646
36 0.812 0.335 0.771 0.692
12 0.861 0.524 0.768 0.788
15 0.861 0.521 0.768 0.795
16 0.861 0.504 0.768 0.756
30.8 0.838 0.327 0.795 0.682
31.4 0.838 0.334 0.795 0.686
38 0.838 0.327 0.795 0.685
21 0.863 0.524 0.804 0.794
18 0.863 0.542 0.804 0.804
20 0.863 0.539 0.806 0.767
26 0.833 0.325 0.779 0.662
23.8 0.83 0.316 0.753 0.661
33.8 0.83 0.341 0.753 0.677
16 0.861 0.53 0.799 0.785
14 0.861 0.526 0.795 0.805
13 0.861 0.485 0.776 0.772
15 0.861 0.523 0.776 0.773
35.4 0.832 0.319 0.782 0.655
31.2 0.832 0.313 0.782 0.677
32.8 0.832 0.318 0.782 0.652
32.6 0.832 0.321 0.782 0.685
20 0.876 0.522 0.791 0.791
22 0.871 0.51 0.791 0.791
25 0.884 0.505 0.79 0.792
29 0.817 0.32 0.776 0.655
36 0.817 0.31 0.773 0.683
11 0.88 0.521 0.769 0.784
16 0.88 0.516 0.769 0.784
15 0.88 0.508 0.769 0.784
