NGF NDVI NDRE GNDVI SAVI
31 0.838 0.331 0.786 0.702
25 0.878 0.516 0.788 0.758
18 0.878 0.507 0.784 0.774
33 0.828 0.338 0.79 0.682
20 0.89 0.539 0.807 0.778
21 0.885 0.539 0.807 0.803
13 0.89 0.53 0.784 0.81
11 0.89 0.535 0.784 0.803
32.8 0.834 0.333 0.784 0.684
31 0.875 0.524 0.789 0.769
18 0.873 0.503 0.786 0.801
37.4 0.818 0.321 0.78 0.618
30 0.878 0.526 0.793 0.757
28.6 0.809 0.3 0.736 0.614
30.6 0.821 0.281 0.744 0.657
34.8 0.823 0.303 0.768 0.676
36.4 0.834 0.346 0.792 0.682
32.8 0.834 0.346 0.792 0.658
31 0.882 0.512 0.793 0.806
32.6 0.802 0.309 0.762 0.732
35.2 0.789 0.294 0.726 0.656
19 0.871 0.513 0.791 0.798
20 0.882 0.512 0.788 0.776
18 0.89 0.514 0.791 0.771
31.8 0.835 0.326 0.761 0.717
32 0.886 0.532 0.799 0.788
30 0.876 0.492 0.799 0.766
31 0.823 0.33 0.772 0.664
13 0.861 0.477 0.768 0.764
36.8 0.838 0.338 0.795 0.673
19 0.863 0.499 0.804 0.773
28.6 0.833 0.331 0.779 0.674
21 0.88 0.526 0.791 0.776
29.8 0.811 0.314 0.77 0.654
33.6 0.809 0.32 0.769 0.652
11 0.88 0.513 0.769 0.782
