PROD	NDVI	NDRE	GNDVI	SAVI
6952.20	0.838	0.331	0.786	0.702
7017.02	0.838	0.306	0.786	0.641
8018.34	0.838	0.323	0.786	0.666
7071.97	0.839	0.323	0.787	0.697
9325.10	0.881	0.516	0.789	0.775
9303.50	0.878	0.516	0.788	0.758
9421.60	0.880	0.517	0.794	0.791
9501.90	0.886	0.517	0.794	0.804
4761.28	0.794	0.302	0.769	0.705
4258.81	0.794	0.302	0.769	0.627
4143.74	0.795	0.299	0.758	0.624
5520.52	0.795	0.299	0.758	0.697
5703.80	0.878	0.507	0.784	0.774
5841.90	0.878	0.507	0.784	0.757
5793.70	0.879	0.504	0.784	0.784
5786.40	0.879	0.504	0.784	0.813
5812.42	0.828	0.322	0.790	0.687
6218.30	0.828	0.338	0.790	0.682
5785.46	0.828	0.337	0.790	0.682
6223.96	0.840	0.322	0.796	0.673
7241.30	0.894	0.539	0.807	0.809
7314.50	0.890	0.539	0.807	0.778
7235.10	0.885	0.539	0.807	0.803
7178.00	0.892	0.529	0.803	0.823
4019.41	0.809	0.316	0.779	0.679
5916.38	0.809	0.316	0.782	0.669
5197.78	0.809	0.320	0.784	0.665
5657.56	0.809	0.312	0.784	0.666
4136.70	0.888	0.526	0.784	0.796
4163.80	0.888	0.526	0.784	0.780
4253.90	0.890	0.530	0.784	0.810
4275.50	0.890	0.535	0.784	0.803
7772.52	0.838	0.333	0.786	0.692
7419.14	0.838	0.333	0.786	0.647
7337.13	0.838	0.333	0.771	0.641
7004.05	0.834	0.333	0.784	0.684
9831.20	0.879	0.532	0.791	0.757
9655.40	0.877	0.524	0.797	0.784
9712.80	0.875	0.524	0.789	0.769
9731.40	0.873	0.524	0.786	0.796
6505.26	0.826	0.312	0.777	0.672
6598.23	0.814	0.312	0.764	0.652
6407.70	0.809	0.303	0.764	0.637
5568.42	0.809	0.314	0.764	0.671
5321.30	0.873	0.511	0.791	0.764
5381.20	0.873	0.511	0.791	0.776
5285.90	0.873	0.511	0.791	0.768
5276.40	0.873	0.503	0.786	0.801
8910.57	0.810	0.332	0.785	0.635
7903.65	0.809	0.332	0.780	0.618
7029.20	0.818	0.321	0.780	0.634
7224.07	0.818	0.321	0.780	0.618
9795.40	0.878	0.526	0.793	0.757
9834.20	0.883	0.526	0.797	0.783
9732.80	0.880	0.526	0.785	0.787
9701.40	0.880	0.526	0.782	0.793
5874.75	0.809	0.300	0.736	0.643
5836.36	0.809	0.300	0.736	0.614
5966.95	0.796	0.299	0.736	0.611
6416.16	0.813	0.299	0.736	0.643
4281.90	0.867	0.503	0.794	0.771
4279.40	0.867	0.503	0.795	0.777
4214.80	0.867	0.503	0.793	0.781
4172.30	0.867	0.503	0.785	0.782
8951.34	0.822	0.338	0.786	0.660
10099.56	0.822	0.338	0.786	0.557
7666.90	0.831	0.331	0.782	0.636
6871.88	0.831	0.331	0.771	0.721
9871.80	0.879	0.519	0.794	0.750
9897.80	0.877	0.519	0.795	0.791
9967.90	0.877	0.519	0.795	0.751
9957.40	0.877	0.519	0.795	0.759
6193.19	0.821	0.281	0.744	0.657
5400.98	0.773	0.281	0.744	0.606
4441.01	0.785	0.303	0.768	0.615
5307.14	0.823	0.303	0.768	0.676
3973.70	0.860	0.504	0.786	0.747
3889.70	0.860	0.504	0.786	0.788
4003.90	0.860	0.504	0.786	0.762
4018.50	0.860	0.488	0.778	0.762
5108.06	0.831	0.346	0.777	0.649
5956.89	0.831	0.346	0.792	0.670
4311.73	0.834	0.346	0.792	0.682
5055.56	0.834	0.346	0.792	0.658
5386.70	0.882	0.517	0.788	0.739
5418.70	0.882	0.517	0.795	0.762
4972.50	0.881	0.517	0.795	0.795
4542.30	0.885	0.520	0.798	0.813
4339.03	0.792	0.294	0.798	0.623
5421.28	0.792	0.305	0.772	0.655
3505.75	0.792	0.305	0.781	0.670
4090.07	0.799	0.305	0.752	0.634
3289.50	0.879	0.509	0.790	0.743
3323.70	0.874	0.505	0.789	0.763
3282.10	0.874	0.505	0.789	0.795
3283.40	0.874	0.505	0.789	0.800
8415.71	0.844	0.326	0.777	0.577
9666.34	0.844	0.326	0.777	0.727
8544.37	0.844	0.326	0.770	0.599
10353.52	0.844	0.326	0.770	0.625
10083.50	0.882	0.512	0.789	0.752
10097.60	0.882	0.512	0.787	0.768
10063.40	0.888	0.512	0.791	0.808
10100.70	0.882	0.512	0.793	0.806
6726.93	0.802	0.309	0.762	0.610
7664.53	0.802	0.309	0.762	0.732
6631.50	0.789	0.294	0.762	0.582
6499.07	0.789	0.294	0.726	0.656
5648.20	0.871	0.515	0.796	0.756
5571.40	0.871	0.515	0.791	0.769
5543.10	0.871	0.513	0.791	0.798
5588.00	0.871	0.513	0.791	0.810
6264.65	0.831	0.334	0.778	0.720
6526.97	0.831	0.325	0.784	0.665
4662.81	0.830	0.337	0.784	0.704
4385.16	0.830	0.319	0.784	0.674
7258.50	0.882	0.512	0.788	0.776
7231.90	0.890	0.514	0.791	0.771
7147.10	0.888	0.517	0.798	0.801
7152.40	0.892	0.513	0.796	0.805
5396.20	0.835	0.326	0.761	0.717
5411.41	0.821	0.318	0.761	0.655
4641.32	0.838	0.334	0.761	0.705
2957.69	0.798	0.322	0.766	0.648
3821.80	0.877	0.515	0.786	0.779
3825.50	0.877	0.495	0.779	0.760
3731.20	0.877	0.512	0.795	0.799
3765.60	0.877	0.510	0.795	0.789
7600.61	0.834	0.318	0.789	0.650
8067.53	0.834	0.332	0.789	0.665
8454.97	0.834	0.326	0.789	0.654
7058.90	0.834	0.336	0.789	0.708
9285.00	0.883	0.527	0.797	0.789
9634.20	0.886	0.532	0.799	0.788
10067.20	0.876	0.492	0.799	0.766
9944.60	0.876	0.507	0.799	0.765
7138.94	0.802	0.318	0.772	0.647
6621.15	0.823	0.330	0.772	0.664
5711.15	0.812	0.319	0.771	0.646
5128.27	0.812	0.335	0.771	0.692
4325.70	0.861	0.524	0.768	0.788
4467.80	0.861	0.521	0.768	0.795
4467.30	0.861	0.477	0.768	0.764
4368.00	0.861	0.504	0.768	0.756
5625.05	0.838	0.327	0.795	0.682
7081.64	0.838	0.338	0.795	0.673
5509.82	0.838	0.334	0.795	0.686
6097.65	0.838	0.327	0.795	0.685
5853.50	0.863	0.524	0.804	0.794
5762.40	0.863	0.542	0.804	0.804
5871.80	0.863	0.499	0.804	0.773
5871.50	0.863	0.539	0.806	0.767
5323.62	0.833	0.325	0.779	0.662
5637.71	0.833	0.331	0.779	0.674
5152.82	0.830	0.316	0.753	0.661
5532.80	0.830	0.341	0.753	0.677
4674.70	0.861	0.530	0.799	0.785
4605.20	0.861	0.526	0.795	0.805
4687.40	0.861	0.485	0.776	0.772
4669.60	0.861	0.523	0.776	0.773
6211.27	0.832	0.319	0.782	0.655
6085.68	0.832	0.313	0.782	0.677
6615.22	0.832	0.318	0.782	0.652
6270.46	0.832	0.321	0.782	0.685
6728.30	0.880	0.526	0.791	0.776
6698.00	0.876	0.522	0.791	0.791
6755.80	0.871	0.510	0.791	0.791
6771.90	0.884	0.505	0.790	0.792
5853.99	0.817	0.320	0.776	0.655
5197.23	0.817	0.310	0.773	0.683
3685.32	0.811	0.314	0.770	0.654
4962.31	0.809	0.320	0.769	0.652
4826.80	0.880	0.521	0.769	0.784
4894.00	0.880	0.516	0.769	0.784
4835.30	0.880	0.508	0.769	0.784
4820.10	0.880	0.513	0.769	0.782
