PROD NDVI NDRE GNDVI SAVI
6952.2 0.838 0.331 0.786 0.702
7017.02 0.838 0.306 0.786 0.641
8018.34 0.838 0.323 0.786 0.666
9325.1 0.881 0.516 0.789 0.775
9303.5 0.878 0.516 0.788 0.758
9421.6 0.88 0.517 0.794 0.791
4761.28 0.794 0.302 0.769 0.705
4258.81 0.794 0.302 0.769 0.627
5520.52 0.795 0.299 0.758 0.697
5841.9 0.878 0.507 0.784 0.757
5793.7 0.879 0.504 0.784 0.784
5786.4 0.879 0.504 0.784 0.813
5812.42 0.828 0.322 0.79 0.687
6218.3 0.828 0.338 0.79 0.682
6223.96 0.84 0.322 0.796 0.673
7241.3 0.894 0.539 0.807 0.809
7235.1 0.885 0.539 0.807 0.803
7178 0.892 0.529 0.803 0.823
5657.56 0.809 0.312 0.784 0.666
4163.8 0.888 0.526 0.784 0.78
4275.5 0.89 0.535 0.784 0.803
7772.52 0.838 0.333 0.786 0.692
7419.14 0.838 0.333 0.786 0.647
7337.13 0.838 0.333 0.771 0.641
9831.2 0.879 0.532 0.791 0.757
9655.4 0.877 0.524 0.797 0.784
9712.8 0.875 0.524 0.789 0.769
6505.26 0.826 0.312 0.777 0.672
6407.7 0.809 0.303 0.764 0.637
5568.42 0.809 0.314 0.764 0.671
5381.2 0.873 0.511 0.791 0.776
5285.9 0.873 0.511 0.791 0.768
5276.4 0.873 0.503 0.786 0.801
7903.65 0.809 0.332 0.78 0.618
7029.2 0.818 0.321 0.78 0.634
7224.07 0.818 0.321 0.78 0.618
9795.4 0.878 0.526 0.793 0.757
9834.2 0.883 0.526 0.797 0.783
9732.8 0.88 0.526 0.785 0.787
9701.4 0.88 0.526 0.782 0.793
5874.75 0.809 0.3 0.736 0.643
5836.36 0.809 0.3 0.736 0.614
6416.16 0.813 0.299 0.736 0.643
4279.4 0.867 0.503 0.795 0.777
4214.8 0.867 0.503 0.793 0.781
4172.3 0.867 0.503 0.785 0.782
8951.34 0.822 0.338 0.786 0.66
10099.56 0.822 0.338 0.786 0.557
7666.9 0.831 0.331 0.782 0.636
6871.88 0.831 0.331 0.771 0.721
9897.8 0.877 0.519 0.795 0.791
9967.9 0.877 0.519 0.795 0.751
6193.19 0.821 0.281 0.744 0.657
5400.98 0.773 0.281 0.744 0.606
5307.14 0.823 0.303 0.768 0.676
3973.7 0.86 0.504 0.786 0.747
3889.7 0.86 0.504 0.786 0.788
4003.9 0.86 0.504 0.786 0.762
4018.5 0.86 0.488 0.778 0.762
4311.73 0.834 0.346 0.792 0.682
5055.56 0.834 0.346 0.792 0.658
5386.7 0.882 0.517 0.788 0.739
5418.7 0.882 0.517 0.795 0.762
4972.5 0.881 0.517 0.795 0.795
4542.3 0.885 0.52 0.798 0.813
4339.03 0.792 0.294 0.798 0.623
5421.28 0.792 0.305 0.772 0.655
3505.75 0.792 0.305 0.781 0.67
4090.07 0.799 0.305 0.752 0.634
3289.5 0.879 0.509 0.79 0.743
3323.7 0.874 0.505 0.789 0.763
3282.1 0.874 0.505 0.789 0.795
3283.4 0.874 0.505 0.789 0.8
8415.71 0.844 0.326 0.777 0.577
9666.34 0.844 0.326 0.777 0.727
8544.37 0.844 0.326 0.77 0.599
10353.52 0.844 0.326 0.77 0.625
10097.6 0.882 0.512 0.787 0.768
10063.4 0.888 0.512 0.791 0.808
6726.93 0.802 0.309 0.762 0.61
6631.5 0.789 0.294 0.762 0.582
6499.07 0.789 0.294 0.726 0.656
5648.2 0.871 0.515 0.796 0.756
5571.4 0.871 0.515 0.791 0.769
5543.1 0.871 0.513 0.791 0.798
5588 0.871 0.513 0.791 0.81
6264.65 0.831 0.334 0.778 0.72
6526.97 0.831 0.325 0.784 0.665
4662.81 0.83 0.337 0.784 0.704
4385.16 0.83 0.319 0.784 0.674
7258.5 0.882 0.512 0.788 0.776
7231.9 0.89 0.514 0.791 0.771
7152.4 0.892 0.513 0.796 0.805
5396.2 0.835 0.326 0.761 0.717
5411.41 0.821 0.318 0.761 0.655
2957.69 0.798 0.322 0.766 0.648
3821.8 0.877 0.515 0.786 0.779
3731.2 0.877 0.512 0.795 0.799
3765.6 0.877 0.51 0.795 0.789
8067.53 0.834 0.332 0.789 0.665
8454.97 0.834 0.326 0.789 0.654
7058.9 0.834 0.336 0.789 0.708
9285 0.883 0.527 0.797 0.789
9634.2 0.886 0.532 0.799 0.788
10067.2 0.876 0.492 0.799 0.766
9944.6 0.876 0.507 0.799 0.765
7138.94 0.802 0.318 0.772 0.647
6621.15 0.823 0.33 0.772 0.664
5711.15 0.812 0.319 0.771 0.646
5128.27 0.812 0.335 0.771 0.692
4325.7 0.861 0.524 0.768 0.788
4467.8 0.861 0.521 0.768 0.795
4467.3 0.861 0.477 0.768 0.764
4368 0.861 0.504 0.768 0.756
5625.05 0.838 0.327 0.795 0.682
7081.64 0.838 0.338 0.795 0.673
5509.82 0.838 0.334 0.795 0.686
6097.65 0.838 0.327 0.795 0.685
5762.4 0.863 0.542 0.804 0.804
5871.8 0.863 0.499 0.804 0.773
5871.5 0.863 0.539 0.806 0.767
5323.62 0.833 0.325 0.779 0.662
5637.71 0.833 0.331 0.779 0.674
5152.82 0.83 0.316 0.753 0.661
5532.8 0.83 0.341 0.753 0.677
4674.7 0.861 0.53 0.799 0.785
4605.2 0.861 0.526 0.795 0.805
4687.4 0.861 0.485 0.776 0.772
4669.6 0.861 0.523 0.776 0.773
6211.27 0.832 0.319 0.782 0.655
6085.68 0.832 0.313 0.782 0.677
6728.3 0.88 0.526 0.791 0.776
6755.8 0.871 0.51 0.791 0.791
6771.9 0.884 0.505 0.79 0.792
5853.99 0.817 0.32 0.776 0.655
3685.32 0.811 0.314 0.77 0.654
4962.31 0.809 0.32 0.769 0.652
4826.8 0.88 0.521 0.769 0.784
4894 0.88 0.516 0.769 0.784
4820.1 0.88 0.513 0.769 0.782
