PROD NDVI NDRE GNDVI SAVI
7071.97 0.839 0.323 0.787 0.697
9501.9 0.886 0.517 0.794 0.804
4143.74 0.795 0.299 0.758 0.624
5703.8 0.878 0.507 0.784 0.774
5785.46 0.828 0.337 0.79 0.682
7314.5 0.89 0.539 0.807 0.778
4019.41 0.809 0.316 0.779 0.679
5916.38 0.809 0.316 0.782 0.669
5197.78 0.809 0.32 0.784 0.665
4136.7 0.888 0.526 0.784 0.796
4253.9 0.89 0.53 0.784 0.81
7004.05 0.834 0.333 0.784 0.684
9731.4 0.873 0.524 0.786 0.796
6598.23 0.814 0.312 0.764 0.652
5321.3 0.873 0.511 0.791 0.764
8910.57 0.81 0.332 0.785 0.635
5966.95 0.796 0.299 0.736 0.611
4281.9 0.867 0.503 0.794 0.771
9871.8 0.879 0.519 0.794 0.75
9957.4 0.877 0.519 0.795 0.759
4441.01 0.785 0.303 0.768 0.615
5108.06 0.831 0.346 0.777 0.649
5956.89 0.831 0.346 0.792 0.67
10083.5 0.882 0.512 0.789 0.752
10100.7 0.882 0.512 0.793 0.806
7664.53 0.802 0.309 0.762 0.732
7147.1 0.888 0.517 0.798 0.801
4641.32 0.838 0.334 0.761 0.705
3825.5 0.877 0.495 0.779 0.76
7600.61 0.834 0.318 0.789 0.65
5853.5 0.863 0.524 0.804 0.794
6615.22 0.832 0.318 0.782 0.652
6270.46 0.832 0.321 0.782 0.685
6698 0.876 0.522 0.791 0.791
5197.23 0.817 0.31 0.773 0.683
4835.3 0.88 0.508 0.769 0.784
