AIE NIR rededge red green NDVI NDRE GNDVI SAVI
1.05 0.668 0.219 0.042 0.079 0.881 0.516 0.789 0.775
0.79 0.562 0.281 0.047 0.064 0.795 0.299 0.758 0.697
0.65 0.628 0.205 0.039 0.076 0.878 0.507 0.784 0.757
0.65 0.734 0.233 0.042 0.083 0.879 0.504 0.784 0.813
0.8 0.756 0.233 0.043 0.083 0.892 0.529 0.803 0.823
1.02 0.712 0.216 0.041 0.077 0.89 0.535 0.784 0.803
1.2 0.562 0.281 0.049 0.067 0.838 0.333 0.786 0.692
1.05 0.691 0.216 0.045 0.078 0.877 0.524 0.797 0.784
1.05 0.726 0.239 0.049 0.087 0.873 0.524 0.786 0.796
0.95 0.524 0.274 0.046 0.063 0.809 0.314 0.764 0.671
1.1 0.635 0.197 0.041 0.073 0.878 0.526 0.793 0.757
0.72 0.464 0.25 0.049 0.058 0.809 0.3 0.736 0.614
1 0.661 0.206 0.042 0.076 0.867 0.503 0.794 0.771
1 0.683 0.215 0.044 0.079 0.867 0.503 0.793 0.781
1 0.704 0.233 0.05 0.085 0.867 0.503 0.785 0.782
1.01 0.629 0.316 0.058 0.081 0.831 0.331 0.771 0.721
0.95 0.63 0.211 0.043 0.078 0.877 0.519 0.795 0.751
0.99 0.522 0.265 0.051 0.065 0.821 0.281 0.744 0.657
0.91 0.485 0.273 0.062 0.071 0.773 0.281 0.744 0.606
0.88 0.488 0.261 0.059 0.064 0.785 0.303 0.768 0.615
0.86 0.744 0.235 0.045 0.084 0.885 0.52 0.798 0.813
0.97 0.732 0.236 0.046 0.084 0.882 0.512 0.793 0.806
0.9 0.708 0.228 0.043 0.081 0.871 0.513 0.791 0.798
0.9 0.737 0.233 0.045 0.083 0.871 0.513 0.791 0.81
1.31 0.587 0.293 0.052 0.08 0.838 0.334 0.761 0.705
1.01 0.598 0.297 0.054 0.07 0.834 0.336 0.789 0.708
1.35 0.693 0.215 0.043 0.078 0.883 0.527 0.797 0.789
0.85 0.525 0.272 0.058 0.067 0.802 0.318 0.772 0.647
1.1 0.693 0.216 0.043 0.077 0.861 0.524 0.768 0.788
1.11 0.566 0.287 0.056 0.071 0.838 0.327 0.795 0.682
0.95 0.53 0.262 0.047 0.06 0.838 0.338 0.795 0.673
0.91 0.704 0.22 0.044 0.082 0.863 0.524 0.804 0.794
0.91 0.716 0.213 0.042 0.078 0.863 0.542 0.804 0.804
0.99 0.546 0.268 0.051 0.066 0.83 0.341 0.753 0.677
0.8 0.722 0.224 0.043 0.082 0.861 0.526 0.795 0.805
1.04 0.698 0.22 0.044 0.083 0.88 0.521 0.769 0.784
