AP NIR rededge red green NDVI NDRE GNDVI SAVI
2.39 0.58 0.292 0.051 0.07 0.838 0.331 0.786 0.702
1.86 0.703 0.224 0.045 0.081 0.88 0.517 0.794 0.791
1.78 0.493 0.266 0.056 0.068 0.795 0.299 0.758 0.624
1.75 0.669 0.213 0.043 0.077 0.878 0.507 0.784 0.774
1.71 0.688 0.227 0.044 0.082 0.879 0.504 0.784 0.784
1.69 0.734 0.233 0.042 0.083 0.879 0.504 0.784 0.813
1.63 0.661 0.209 0.038 0.075 0.89 0.539 0.807 0.778
1.65 0.756 0.233 0.043 0.083 0.892 0.529 0.803 0.823
2.44 0.53 0.278 0.051 0.064 0.809 0.312 0.784 0.666
2.2 0.726 0.239 0.049 0.087 0.873 0.524 0.786 0.796
2.06 0.524 0.274 0.046 0.063 0.809 0.314 0.764 0.671
2.1 0.507 0.261 0.052 0.062 0.809 0.3 0.736 0.643
2.08 0.464 0.25 0.049 0.058 0.809 0.3 0.736 0.614
2.08 0.471 0.254 0.054 0.061 0.796 0.299 0.736 0.611
1.8 0.661 0.206 0.042 0.076 0.867 0.503 0.794 0.771
1.72 0.671 0.214 0.042 0.077 0.867 0.503 0.795 0.777
1.78 0.683 0.215 0.044 0.079 0.867 0.503 0.793 0.781
2.23 0.522 0.265 0.051 0.065 0.821 0.281 0.744 0.657
1.73 0.671 0.231 0.05 0.084 0.86 0.488 0.778 0.762
1.86 0.596 0.196 0.037 0.071 0.882 0.517 0.788 0.739
1.82 0.71 0.226 0.045 0.081 0.881 0.517 0.795 0.795
1.9 0.527 0.268 0.054 0.084 0.789 0.294 0.726 0.656
1.72 0.625 0.194 0.039 0.071 0.871 0.515 0.796 0.756
1.7 0.66 0.211 0.043 0.077 0.871 0.515 0.791 0.769
1.81 0.708 0.228 0.043 0.081 0.871 0.513 0.791 0.798
2.37 0.595 0.295 0.055 0.085 0.83 0.337 0.784 0.704
1.68 0.712 0.227 0.042 0.08 0.888 0.517 0.798 0.801
2.48 0.587 0.293 0.052 0.08 0.838 0.334 0.761 0.705
1.67 0.531 0.272 0.06 0.07 0.798 0.322 0.766 0.648
1.71 0.722 0.233 0.046 0.083 0.877 0.512 0.795 0.799
2.35 0.536 0.278 0.061 0.07 0.834 0.318 0.789 0.65
2.51 0.598 0.297 0.054 0.07 0.834 0.336 0.789 0.708
2.23 0.532 0.268 0.052 0.065 0.823 0.33 0.772 0.664
2.23 0.513 0.265 0.053 0.066 0.812 0.319 0.771 0.646
1.73 0.691 0.239 0.052 0.087 0.861 0.485 0.776 0.772
1.59 0.677 0.218 0.041 0.077 0.88 0.513 0.769 0.782
