CE NIR rededge red green NDVI NDRE GNDVI SAVI
15.26 0.541 0.276 0.054 0.071 0.838 0.323 0.786 0.666
16.48 0.57 0.291 0.05 0.068 0.839 0.323 0.787 0.697
17.85 0.668 0.219 0.042 0.079 0.881 0.516 0.789 0.775
16.8 0.703 0.224 0.045 0.081 0.88 0.517 0.794 0.791
12.12 0.628 0.205 0.039 0.076 0.878 0.507 0.784 0.757
14.31 0.756 0.233 0.043 0.083 0.892 0.529 0.803 0.823
15.68 0.53 0.278 0.051 0.064 0.809 0.312 0.784 0.666
11.69 0.668 0.219 0.04 0.081 0.888 0.526 0.784 0.78
12.22 0.712 0.216 0.041 0.077 0.89 0.535 0.784 0.803
15.44 0.562 0.281 0.049 0.067 0.838 0.333 0.786 0.692
18.25 0.663 0.216 0.044 0.078 0.875 0.524 0.789 0.769
12.72 0.739 0.244 0.05 0.089 0.873 0.503 0.786 0.801
23 0.438 0.253 0.065 0.068 0.822 0.338 0.786 0.557
16.86 0.659 0.227 0.048 0.082 0.877 0.519 0.795 0.759
17.68 0.522 0.265 0.051 0.065 0.821 0.281 0.744 0.657
19.12 0.488 0.261 0.059 0.064 0.785 0.303 0.768 0.615
11.23 0.694 0.218 0.044 0.078 0.86 0.504 0.786 0.788
15 0.71 0.226 0.045 0.081 0.881 0.517 0.795 0.795
17.16 0.494 0.269 0.057 0.066 0.792 0.294 0.798 0.623
17.02 0.619 0.202 0.039 0.073 0.882 0.512 0.789 0.752
17.59 0.728 0.235 0.043 0.085 0.888 0.512 0.791 0.808
13.25 0.625 0.194 0.039 0.071 0.871 0.515 0.796 0.756
13.65 0.716 0.23 0.041 0.081 0.892 0.513 0.796 0.805
17.64 0.517 0.268 0.051 0.063 0.821 0.318 0.761 0.655
11.41 0.681 0.218 0.045 0.082 0.877 0.515 0.786 0.779
18.5 0.536 0.269 0.053 0.067 0.834 0.332 0.789 0.665
21.04 0.598 0.297 0.054 0.07 0.834 0.336 0.789 0.708
17.34 0.513 0.265 0.053 0.066 0.812 0.319 0.771 0.646
11.64 0.693 0.216 0.043 0.077 0.861 0.524 0.768 0.788
11.65 0.694 0.219 0.04 0.079 0.861 0.521 0.768 0.795
11.42 0.628 0.207 0.04 0.073 0.861 0.504 0.768 0.756
13.25 0.69 0.23 0.051 0.085 0.863 0.499 0.804 0.773
12.1 0.65 0.195 0.041 0.07 0.863 0.539 0.806 0.767
19.8 0.533 0.275 0.057 0.069 0.832 0.319 0.782 0.655
17.52 0.544 0.285 0.05 0.067 0.832 0.313 0.782 0.677
18.3 0.526 0.271 0.056 0.069 0.809 0.32 0.769 0.652
