DC NIR rededge red green NDVI NDRE GNDVI SAVI
1.93 0.498 0.267 0.057 0.065 0.794 0.302 0.769 0.627
1.88 0.556 0.275 0.052 0.065 0.828 0.338 0.79 0.682
1.78 0.556 0.276 0.052 0.067 0.828 0.337 0.79 0.682
1.42 0.756 0.233 0.043 0.083 0.892 0.529 0.803 0.823
1.85 0.53 0.278 0.051 0.064 0.809 0.312 0.784 0.666
1.58 0.696 0.216 0.04 0.077 0.888 0.526 0.784 0.796
1.27 0.712 0.216 0.041 0.077 0.89 0.535 0.784 0.803
1.59 0.739 0.244 0.05 0.089 0.873 0.503 0.786 0.801
1.72 0.468 0.248 0.049 0.058 0.809 0.332 0.78 0.618
1.65 0.506 0.261 0.052 0.077 0.813 0.299 0.736 0.643
1.72 0.438 0.253 0.065 0.068 0.822 0.338 0.786 0.557
1.59 0.493 0.26 0.051 0.06 0.831 0.331 0.782 0.636
1.85 0.55 0.278 0.053 0.069 0.823 0.303 0.768 0.676
1.71 0.52 0.277 0.052 0.067 0.792 0.305 0.772 0.655
0.93 0.607 0.198 0.039 0.071 0.879 0.509 0.79 0.743
0.9 0.704 0.226 0.043 0.08 0.874 0.505 0.789 0.795
1.9 0.494 0.259 0.056 0.085 0.844 0.326 0.77 0.625
1.94 0.595 0.295 0.055 0.085 0.83 0.337 0.784 0.704
2.07 0.531 0.272 0.06 0.07 0.798 0.322 0.766 0.648
0.91 0.681 0.218 0.045 0.082 0.877 0.515 0.786 0.779
0.8 0.635 0.214 0.04 0.079 0.877 0.495 0.779 0.76
0.89 0.69 0.224 0.042 0.079 0.877 0.51 0.795 0.789
1.92 0.536 0.269 0.053 0.067 0.834 0.332 0.789 0.665
1.99 0.693 0.215 0.043 0.078 0.883 0.527 0.797 0.789
2.01 0.672 0.229 0.049 0.084 0.876 0.492 0.799 0.766
2.13 0.525 0.272 0.058 0.067 0.802 0.318 0.772 0.647
1.66 0.571 0.284 0.052 0.068 0.812 0.335 0.771 0.692
1.45 0.693 0.216 0.043 0.077 0.861 0.524 0.768 0.788
1.36 0.704 0.22 0.044 0.082 0.863 0.524 0.804 0.794
1.27 0.722 0.224 0.043 0.082 0.861 0.526 0.795 0.805
2.04 0.533 0.275 0.057 0.069 0.832 0.319 0.782 0.655
1.76 0.519 0.268 0.053 0.066 0.832 0.318 0.782 0.652
1.87 0.699 0.23 0.043 0.082 0.884 0.505 0.79 0.792
2.1 0.521 0.268 0.052 0.066 0.817 0.32 0.776 0.655
1.88 0.526 0.275 0.055 0.068 0.811 0.314 0.77 0.654
1.36 0.677 0.218 0.041 0.077 0.88 0.513 0.769 0.782
