NFE NIR rededge red green NDVI NDRE GNDVI SAVI
12.8 0.498 0.267 0.057 0.065 0.794 0.302 0.769 0.627
12 0.734 0.233 0.042 0.083 0.879 0.504 0.784 0.813
12 0.721 0.216 0.04 0.077 0.894 0.539 0.807 0.809
14.4 0.575 0.293 0.061 0.072 0.809 0.316 0.779 0.679
8 0.712 0.216 0.041 0.077 0.89 0.535 0.784 0.803
12.4 0.552 0.287 0.05 0.067 0.834 0.333 0.784 0.684
13.6 0.52 0.272 0.053 0.07 0.814 0.312 0.764 0.652
14 0.496 0.249 0.052 0.06 0.81 0.332 0.785 0.635
14.8 0.468 0.248 0.049 0.058 0.809 0.332 0.78 0.618
14 0.464 0.25 0.049 0.058 0.809 0.3 0.736 0.614
13.6 0.506 0.261 0.052 0.077 0.813 0.299 0.736 0.643
10 0.683 0.215 0.044 0.079 0.867 0.503 0.793 0.781
8 0.704 0.233 0.05 0.085 0.867 0.503 0.785 0.782
14.4 0.493 0.26 0.051 0.06 0.831 0.331 0.782 0.636
14 0.706 0.223 0.046 0.08 0.877 0.519 0.795 0.791
16 0.63 0.211 0.043 0.078 0.877 0.519 0.795 0.751
14 0.659 0.227 0.048 0.082 0.877 0.519 0.795 0.759
12.4 0.522 0.265 0.051 0.065 0.821 0.281 0.744 0.657
14 0.488 0.261 0.059 0.064 0.785 0.303 0.768 0.615
14.4 0.494 0.259 0.056 0.085 0.844 0.326 0.77 0.625
16 0.728 0.235 0.043 0.085 0.888 0.512 0.791 0.808
14 0.433 0.236 0.051 0.057 0.789 0.294 0.762 0.582
15.2 0.527 0.268 0.054 0.084 0.789 0.294 0.726 0.656
14 0.625 0.312 0.058 0.078 0.831 0.334 0.778 0.72
12 0.667 0.216 0.042 0.079 0.882 0.512 0.788 0.776
8 0.722 0.233 0.046 0.083 0.877 0.512 0.795 0.799
15.2 0.523 0.266 0.054 0.066 0.834 0.326 0.789 0.654
14 0.653 0.213 0.043 0.077 0.876 0.507 0.799 0.765
16 0.53 0.262 0.047 0.06 0.838 0.338 0.795 0.673
14 0.567 0.283 0.054 0.081 0.838 0.334 0.795 0.686
8 0.716 0.213 0.042 0.078 0.863 0.542 0.804 0.804
8 0.688 0.211 0.043 0.077 0.861 0.53 0.799 0.785
14 0.579 0.298 0.059 0.075 0.832 0.321 0.782 0.685
12 0.67 0.208 0.043 0.081 0.88 0.526 0.791 0.776
10 0.709 0.223 0.047 0.083 0.876 0.522 0.791 0.791
13.6 0.526 0.275 0.055 0.068 0.811 0.314 0.77 0.654
