NGF NIR rededge red green NDVI NDRE GNDVI SAVI
31 0.58 0.292 0.051 0.07 0.838 0.331 0.786 0.702
31.4 0.516 0.274 0.057 0.067 0.838 0.306 0.786 0.641
29 0.541 0.276 0.054 0.071 0.838 0.323 0.786 0.666
29 0.57 0.291 0.05 0.068 0.839 0.323 0.787 0.697
26 0.668 0.219 0.042 0.079 0.881 0.516 0.789 0.775
25 0.703 0.224 0.045 0.081 0.88 0.517 0.794 0.791
26 0.721 0.236 0.044 0.083 0.886 0.517 0.794 0.804
31.4 0.584 0.295 0.051 0.07 0.794 0.302 0.769 0.705
28.4 0.498 0.267 0.057 0.065 0.794 0.302 0.769 0.627
32.6 0.493 0.266 0.056 0.068 0.795 0.299 0.758 0.624
30 0.562 0.281 0.047 0.064 0.795 0.299 0.758 0.697
20 0.628 0.205 0.039 0.076 0.878 0.507 0.784 0.757
18 0.734 0.233 0.042 0.083 0.879 0.504 0.784 0.813
34 0.593 0.304 0.064 0.076 0.828 0.322 0.79 0.687
33 0.556 0.275 0.052 0.065 0.828 0.338 0.79 0.682
21 0.721 0.216 0.04 0.077 0.894 0.539 0.807 0.809
20 0.661 0.209 0.038 0.075 0.89 0.539 0.807 0.778
20 0.756 0.233 0.043 0.083 0.892 0.529 0.803 0.823
28 0.575 0.293 0.061 0.072 0.809 0.316 0.779 0.679
32.2 0.543 0.273 0.054 0.066 0.809 0.316 0.782 0.669
28 0.524 0.27 0.048 0.064 0.809 0.32 0.784 0.665
23 0.53 0.278 0.051 0.064 0.809 0.312 0.784 0.666
16 0.696 0.216 0.04 0.077 0.888 0.526 0.784 0.796
14 0.668 0.219 0.04 0.081 0.888 0.526 0.784 0.78
13 0.728 0.224 0.042 0.079 0.89 0.53 0.784 0.81
11 0.712 0.216 0.041 0.077 0.89 0.535 0.784 0.803
34.4 0.518 0.276 0.055 0.075 0.838 0.333 0.786 0.647
31 0.634 0.193 0.041 0.074 0.879 0.532 0.791 0.757
30 0.691 0.216 0.045 0.078 0.877 0.524 0.797 0.784
31 0.663 0.216 0.044 0.078 0.875 0.524 0.789 0.769
28.4 0.54 0.277 0.051 0.068 0.826 0.312 0.777 0.672
34.2 0.52 0.272 0.053 0.07 0.814 0.312 0.764 0.652
33.6 0.5 0.268 0.053 0.065 0.809 0.303 0.764 0.637
33.8 0.524 0.274 0.046 0.063 0.809 0.314 0.764 0.671
17 0.648 0.2 0.042 0.076 0.873 0.511 0.791 0.764
