NGF NIR rededge red green NDVI NDRE GNDVI SAVI
25 0.636 0.203 0.041 0.076 0.878 0.516 0.788 0.758
18 0.669 0.213 0.043 0.077 0.878 0.507 0.784 0.774
26 0.688 0.227 0.044 0.082 0.879 0.504 0.784 0.784
40.2 0.556 0.276 0.052 0.067 0.828 0.337 0.79 0.682
34 0.528 0.274 0.046 0.06 0.84 0.322 0.796 0.673
21 0.72 0.232 0.044 0.085 0.885 0.539 0.807 0.803
32.2 0.562 0.281 0.049 0.067 0.838 0.333 0.786 0.692
33.8 0.517 0.271 0.058 0.067 0.838 0.333 0.771 0.641
32.8 0.552 0.287 0.05 0.067 0.834 0.333 0.784 0.684
29 0.726 0.239 0.049 0.087 0.873 0.524 0.786 0.796
19 0.67 0.207 0.043 0.074 0.873 0.511 0.791 0.776
20 0.657 0.213 0.043 0.077 0.873 0.511 0.791 0.768
18 0.739 0.244 0.05 0.089 0.873 0.503 0.786 0.801
37.4 0.478 0.252 0.053 0.075 0.818 0.321 0.78 0.618
12 0.704 0.233 0.05 0.085 0.867 0.503 0.785 0.782
28.2 0.493 0.26 0.051 0.06 0.831 0.331 0.782 0.636
29.8 0.488 0.261 0.059 0.064 0.785 0.303 0.768 0.615
10 0.694 0.218 0.044 0.078 0.86 0.504 0.786 0.788
24.2 0.517 0.276 0.053 0.065 0.831 0.346 0.777 0.649
26 0.71 0.226 0.045 0.081 0.881 0.517 0.795 0.795
34.4 0.533 0.27 0.05 0.065 0.792 0.305 0.781 0.67
12 0.718 0.23 0.045 0.081 0.874 0.505 0.789 0.8
30 0.728 0.235 0.043 0.085 0.888 0.512 0.791 0.808
31 0.732 0.236 0.046 0.084 0.882 0.512 0.793 0.806
14 0.625 0.194 0.039 0.071 0.871 0.515 0.796 0.756
31.8 0.565 0.292 0.06 0.075 0.83 0.319 0.784 0.674
34.8 0.517 0.268 0.051 0.063 0.821 0.318 0.761 0.655
34.8 0.587 0.293 0.052 0.08 0.838 0.334 0.761 0.705
11 0.681 0.218 0.045 0.082 0.877 0.515 0.786 0.779
33 0.693 0.215 0.043 0.078 0.883 0.527 0.797 0.789
30 0.672 0.229 0.049 0.084 0.876 0.492 0.799 0.766
31 0.532 0.268 0.052 0.065 0.823 0.33 0.772 0.664
31.4 0.513 0.265 0.053 0.066 0.812 0.319 0.771 0.646
21 0.704 0.22 0.044 0.082 0.863 0.524 0.804 0.794
20 0.65 0.195 0.041 0.07 0.863 0.539 0.806 0.767
36 0.56 0.295 0.053 0.072 0.817 0.31 0.773 0.683
