PROD NIR rededge red green NDVI NDRE GNDVI SAVI
6952.2 0.58 0.292 0.051 0.07 0.838 0.331 0.786 0.702
8018.34 0.541 0.276 0.054 0.071 0.838 0.323 0.786 0.666
7071.97 0.57 0.291 0.05 0.068 0.839 0.323 0.787 0.697
9325.1 0.668 0.219 0.042 0.079 0.881 0.516 0.789 0.775
9303.5 0.636 0.203 0.041 0.076 0.878 0.516 0.788 0.758
9501.9 0.721 0.236 0.044 0.083 0.886 0.517 0.794 0.804
4761.28 0.584 0.295 0.051 0.07 0.794 0.302 0.769 0.705
5520.52 0.562 0.281 0.047 0.064 0.795 0.299 0.758 0.697
5703.8 0.669 0.213 0.043 0.077 0.878 0.507 0.784 0.774
5812.42 0.593 0.304 0.064 0.076 0.828 0.322 0.79 0.687
6218.3 0.556 0.275 0.052 0.065 0.828 0.338 0.79 0.682
5785.46 0.556 0.276 0.052 0.067 0.828 0.337 0.79 0.682
6223.96 0.528 0.274 0.046 0.06 0.84 0.322 0.796 0.673
7241.3 0.721 0.216 0.04 0.077 0.894 0.539 0.807 0.809
7314.5 0.661 0.209 0.038 0.075 0.89 0.539 0.807 0.778
7235.1 0.72 0.232 0.044 0.085 0.885 0.539 0.807 0.803
7178 0.756 0.233 0.043 0.083 0.892 0.529 0.803 0.823
4019.41 0.575 0.293 0.061 0.072 0.809 0.316 0.779 0.679
5916.38 0.543 0.273 0.054 0.066 0.809 0.316 0.782 0.669
5197.78 0.524 0.27 0.048 0.064 0.809 0.32 0.784 0.665
4136.7 0.696 0.216 0.04 0.077 0.888 0.526 0.784 0.796
4163.8 0.668 0.219 0.04 0.081 0.888 0.526 0.784 0.78
4253.9 0.728 0.224 0.042 0.079 0.89 0.53 0.784 0.81
4275.5 0.712 0.216 0.041 0.077 0.89 0.535 0.784 0.803
7772.52 0.562 0.281 0.049 0.067 0.838 0.333 0.786 0.692
7419.14 0.518 0.276 0.055 0.075 0.838 0.333 0.786 0.647
7337.13 0.517 0.271 0.058 0.067 0.838 0.333 0.771 0.641
7004.05 0.552 0.287 0.05 0.067 0.834 0.333 0.784 0.684
9831.2 0.634 0.193 0.041 0.074 0.879 0.532 0.791 0.757
9655.4 0.691 0.216 0.045 0.078 0.877 0.524 0.797 0.784
9712.8 0.663 0.216 0.044 0.078 0.875 0.524 0.789 0.769
6505.26 0.54 0.277 0.051 0.068 0.826 0.312 0.777 0.672
6598.23 0.52 0.272 0.053 0.07 0.814 0.312 0.764 0.652
5568.42 0.524 0.274 0.046 0.063 0.809 0.314 0.764 0.671
5321.3 0.648 0.2 0.042 0.076 0.873 0.511 0.791 0.764
5381.2 0.67 0.207 0.043 0.074 0.873 0.511 0.791 0.776
5285.9 0.657 0.213 0.043 0.077 0.873 0.511 0.791 0.768
7903.65 0.468 0.248 0.049 0.058 0.809 0.332 0.78 0.618
7029.2 0.487 0.25 0.049 0.059 0.818 0.321 0.78 0.634
7224.07 0.478 0.252 0.053 0.075 0.818 0.321 0.78 0.618
9795.4 0.635 0.197 0.041 0.073 0.878 0.526 0.793 0.757
9834.2 0.68 0.216 0.042 0.077 0.883 0.526 0.797 0.783
9732.8 0.695 0.223 0.045 0.084 0.88 0.526 0.785 0.787
5966.95 0.471 0.254 0.054 0.061 0.796 0.299 0.736 0.611
6416.16 0.506 0.261 0.052 0.077 0.813 0.299 0.736 0.643
4279.4 0.671 0.214 0.042 0.077 0.867 0.503 0.795 0.777
4172.3 0.704 0.233 0.05 0.085 0.867 0.503 0.785 0.782
8951.34 0.524 0.26 0.051 0.063 0.822 0.338 0.786 0.66
10099.56 0.438 0.253 0.065 0.068 0.822 0.338 0.786 0.557
7666.9 0.493 0.26 0.051 0.06 0.831 0.331 0.782 0.636
9871.8 0.619 0.196 0.04 0.071 0.879 0.519 0.794 0.75
9897.8 0.706 0.223 0.046 0.08 0.877 0.519 0.795 0.791
9967.9 0.63 0.211 0.043 0.078 0.877 0.519 0.795 0.751
9957.4 0.659 0.227 0.048 0.082 0.877 0.519 0.795 0.759
5400.98 0.485 0.273 0.062 0.071 0.773 0.281 0.744 0.606
4441.01 0.488 0.261 0.059 0.064 0.785 0.303 0.768 0.615
5307.14 0.55 0.278 0.053 0.069 0.823 0.303 0.768 0.676
3973.7 0.619 0.197 0.041 0.071 0.86 0.504 0.786 0.747
3889.7 0.694 0.218 0.044 0.078 0.86 0.504 0.786 0.788
4003.9 0.646 0.213 0.043 0.077 0.86 0.504 0.786 0.762
4018.5 0.671 0.231 0.05 0.084 0.86 0.488 0.778 0.762
5108.06 0.517 0.276 0.053 0.065 0.831 0.346 0.777 0.649
5956.89 0.533 0.279 0.049 0.064 0.831 0.346 0.792 0.67
4311.73 0.55 0.267 0.05 0.064 0.834 0.346 0.792 0.682
5055.56 0.543 0.287 0.059 0.081 0.834 0.346 0.792 0.658
5386.7 0.596 0.196 0.037 0.071 0.882 0.517 0.788 0.739
4972.5 0.71 0.226 0.045 0.081 0.881 0.517 0.795 0.795
4542.3 0.744 0.235 0.045 0.084 0.885 0.52 0.798 0.813
4339.03 0.494 0.269 0.057 0.066 0.792 0.294 0.798 0.623
5421.28 0.52 0.277 0.052 0.067 0.792 0.305 0.772 0.655
3505.75 0.533 0.27 0.05 0.065 0.792 0.305 0.781 0.67
4090.07 0.506 0.266 0.057 0.072 0.799 0.305 0.752 0.634
3289.5 0.607 0.198 0.039 0.071 0.879 0.509 0.79 0.743
3282.1 0.704 0.226 0.043 0.08 0.874 0.505 0.789 0.795
3283.4 0.718 0.23 0.045 0.081 0.874 0.505 0.789 0.8
8415.71 0.421 0.223 0.048 0.053 0.844 0.326 0.777 0.577
9666.34 0.622 0.316 0.053 0.084 0.844 0.326 0.777 0.727
8544.37 0.444 0.239 0.048 0.058 0.844 0.326 0.77 0.599
10353.52 0.494 0.259 0.056 0.085 0.844 0.326 0.77 0.625
10083.5 0.619 0.202 0.039 0.073 0.882 0.512 0.789 0.752
10097.6 0.665 0.218 0.045 0.079 0.882 0.512 0.787 0.768
10063.4 0.728 0.235 0.043 0.085 0.888 0.512 0.791 0.808
