PROD NIR rededge red green NDVI NDRE GNDVI SAVI
7017.02 0.516 0.274 0.057 0.067 0.838 0.306 0.786 0.641
9421.6 0.703 0.224 0.045 0.081 0.88 0.517 0.794 0.791
4258.81 0.498 0.267 0.057 0.065 0.794 0.302 0.769 0.627
4143.74 0.493 0.266 0.056 0.068 0.795 0.299 0.758 0.624
5841.9 0.628 0.205 0.039 0.076 0.878 0.507 0.784 0.757
5793.7 0.688 0.227 0.044 0.082 0.879 0.504 0.784 0.784
5786.4 0.734 0.233 0.042 0.083 0.879 0.504 0.784 0.813
5657.56 0.53 0.278 0.051 0.064 0.809 0.312 0.784 0.666
9731.4 0.726 0.239 0.049 0.087 0.873 0.524 0.786 0.796
6407.7 0.5 0.268 0.053 0.065 0.809 0.303 0.764 0.637
5276.4 0.739 0.244 0.05 0.089 0.873 0.503 0.786 0.801
8910.57 0.496 0.249 0.052 0.06 0.81 0.332 0.785 0.635
9701.4 0.726 0.243 0.051 0.089 0.88 0.526 0.782 0.793
5874.75 0.507 0.261 0.052 0.062 0.809 0.3 0.736 0.643
5836.36 0.464 0.25 0.049 0.058 0.809 0.3 0.736 0.614
4281.9 0.661 0.206 0.042 0.076 0.867 0.503 0.794 0.771
4214.8 0.683 0.215 0.044 0.079 0.867 0.503 0.793 0.781
6871.88 0.629 0.316 0.058 0.081 0.831 0.331 0.771 0.721
6193.19 0.522 0.265 0.051 0.065 0.821 0.281 0.744 0.657
5418.7 0.656 0.22 0.046 0.078 0.882 0.517 0.795 0.762
3323.7 0.653 0.215 0.044 0.077 0.874 0.505 0.789 0.763
7231.9 0.645 0.207 0.038 0.075 0.89 0.514 0.791 0.771
3825.5 0.635 0.214 0.04 0.079 0.877 0.495 0.779 0.76
8067.53 0.536 0.269 0.053 0.067 0.834 0.332 0.789 0.665
8454.97 0.523 0.266 0.054 0.066 0.834 0.326 0.789 0.654
9285 0.693 0.215 0.043 0.078 0.883 0.527 0.797 0.789
5128.27 0.571 0.284 0.052 0.068 0.812 0.335 0.771 0.692
7081.64 0.53 0.262 0.047 0.06 0.838 0.338 0.795 0.673
5509.82 0.567 0.283 0.054 0.081 0.838 0.334 0.795 0.686
5532.8 0.546 0.268 0.051 0.066 0.83 0.341 0.753 0.677
4687.4 0.691 0.239 0.052 0.087 0.861 0.485 0.776 0.772
6270.46 0.579 0.298 0.059 0.075 0.832 0.321 0.782 0.685
6728.3 0.67 0.208 0.043 0.081 0.88 0.526 0.791 0.776
6771.9 0.699 0.23 0.043 0.082 0.884 0.505 0.79 0.792
5853.99 0.521 0.268 0.052 0.066 0.817 0.32 0.776 0.655
5197.23 0.56 0.295 0.053 0.072 0.817 0.31 0.773 0.683
